,accuracy,lr
0,0.1068,0.0001
1,0.388,0.0002
2,0.2941,0.00030000000000000003
3,0.4301,0.0004
4,0.3508,0.0005
5,0.2693,0.0006000000000000001
6,0.305,0.0007000000000000001
7,0.3925,0.0008
8,0.357,0.0009
9,0.3757,0.001
10,0.3643,0.001
11,0.4371,0.001
12,0.3872,0.001
13,0.3893,0.001
14,0.4326,0.001
15,0.468,0.001
16,0.4258,0.001
17,0.4397,0.001
18,0.4495,0.001
19,0.4781,0.001
20,0.4578,0.001
21,0.4415,0.001
22,0.4217,0.001
23,0.3962,0.001
24,0.4788,0.001
25,0.4887,0.001
26,0.4576,0.001
27,0.4809,0.001
28,0.4926,0.001
29,0.5075,0.001
30,0.4847,0.001
31,0.4962,0.001
32,0.4305,0.001
33,0.4988,0.001
34,0.4857,0.001
35,0.5068,0.001
36,0.487,0.001
37,0.49,0.001
38,0.4542,0.001
39,0.495,0.001
40,0.5139,0.001
41,0.4792,0.001
42,0.5095,0.001
43,0.497,0.001
44,0.4956,0.001
45,0.5154,0.001
46,0.5388,0.001
47,0.5232,0.001
48,0.5085,0.001
49,0.5175,0.001
50,0.5197,0.001
51,0.5135,0.001
52,0.491,0.001
53,0.5126,0.001
54,0.502,0.001
55,0.5245,0.001
56,0.5182,0.001
57,0.5142,0.001
58,0.5099,0.001
59,0.5163,0.001
60,0.512,0.001
61,0.4954,0.001
62,0.539,0.001
63,0.4597,0.001
64,0.5181,0.001
65,0.5214,0.001
66,0.5206,0.001
67,0.5374,0.001
68,0.4918,0.001
69,0.5171,0.001
70,0.5257,0.001
71,0.5157,0.001
72,0.5085,0.001
73,0.5164,0.001
74,0.5331,0.001
75,0.5379,0.001
76,0.5316,0.001
77,0.5341,0.001
78,0.5196,0.001
79,0.5324,0.001
80,0.5176,0.001
81,0.5129,0.001
82,0.4946,0.001
83,0.5207,0.001
84,0.5136,0.001
85,0.4738,0.001
86,0.5149,0.001
87,0.5207,0.001
88,0.5452,0.001
89,0.5114,0.001
90,0.5295,0.001
91,0.5442,0.001
92,0.5218,0.001
93,0.5261,0.001
94,0.5087,0.001
95,0.4992,0.001
96,0.5176,0.001
97,0.5221,0.001
98,0.5131,0.001
99,0.4933,0.001
100,0.5798,0.0001
101,0.6108,0.0002
102,0.6242,0.00030000000000000003
103,0.6187,0.0004
104,0.6102,0.0005
105,0.6104,0.0006000000000000001
106,0.5926,0.0007000000000000001
107,0.5872,0.0008
108,0.5979,0.0009
109,0.5928,0.001
110,0.6048,0.001
111,0.6027,0.001
112,0.596,0.001
113,0.5935,0.001
114,0.598,0.001
115,0.6082,0.001
116,0.5926,0.001
117,0.5646,0.001
118,0.5955,0.001
119,0.6048,0.001
120,0.5992,0.001
121,0.5869,0.001
122,0.6027,0.001
123,0.6002,0.001
124,0.5953,0.001
125,0.5913,0.001
126,0.608,0.001
127,0.6015,0.001
128,0.6014,0.001
129,0.6077,0.001
130,0.605,0.001
131,0.5867,0.001
132,0.6119,0.001
133,0.6017,0.001
134,0.5932,0.001
135,0.6035,0.001
136,0.6038,0.001
137,0.6135,0.001
138,0.6092,0.001
139,0.6105,0.001
140,0.6133,0.001
141,0.6021,0.001
142,0.6078,0.001
143,0.5993,0.001
144,0.6096,0.001
145,0.6074,0.001
146,0.6148,0.001
147,0.6136,0.001
148,0.6022,0.001
149,0.6165,0.001
150,0.6047,0.001
151,0.6053,0.001
152,0.6155,0.001
153,0.6109,0.001
154,0.6118,0.001
155,0.5992,0.001
156,0.6067,0.001
157,0.6167,0.001
158,0.6195,0.001
159,0.6084,0.001
160,0.627,0.001
161,0.6249,0.001
162,0.6119,0.001
163,0.6124,0.001
164,0.5981,0.001
165,0.6122,0.001
166,0.6124,0.001
167,0.6069,0.001
168,0.6152,0.001
169,0.6155,0.001
170,0.6105,0.001
171,0.6157,0.001
172,0.6114,0.001
173,0.6185,0.001
174,0.6018,0.001
175,0.6134,0.001
176,0.6119,0.001
177,0.5977,0.001
178,0.628,0.001
179,0.6207,0.001
180,0.6021,0.001
181,0.6176,0.001
182,0.6191,0.001
183,0.6178,0.001
184,0.6196,0.001
185,0.6055,0.001
186,0.622,0.001
187,0.6326,0.001
188,0.6089,0.001
189,0.6197,0.001
190,0.6176,0.001
191,0.6306,0.001
192,0.6265,0.001
193,0.6227,0.001
194,0.6068,0.001
195,0.6122,0.001
196,0.6229,0.001
197,0.624,0.001
198,0.6182,0.001
199,0.6194,0.001
200,0.6467,0.0001
201,0.6637,0.0002
202,0.6775,0.00030000000000000003
203,0.6751,0.0004
204,0.6781,0.0005
205,0.6729,0.0006000000000000001
206,0.6693,0.0007000000000000001
207,0.6587,0.0008
208,0.6556,0.0009
209,0.6593,0.001
210,0.6706,0.001
211,0.6461,0.001
212,0.6507,0.001
213,0.6616,0.001
214,0.6691,0.001
215,0.6628,0.001
216,0.6598,0.001
217,0.6656,0.001
218,0.6589,0.001
219,0.6519,0.001
220,0.6599,0.001
221,0.6678,0.001
222,0.6513,0.001
223,0.6609,0.001
224,0.6543,0.001
225,0.6622,0.001
226,0.6545,0.001
227,0.6641,0.001
228,0.6424,0.001
229,0.6714,0.001
230,0.6688,0.001
231,0.6694,0.001
232,0.6604,0.001
233,0.6644,0.001
234,0.6513,0.001
235,0.6633,0.001
236,0.6691,0.001
237,0.6604,0.001
238,0.6681,0.001
239,0.6717,0.001
240,0.6604,0.001
241,0.6726,0.001
242,0.6582,0.001
243,0.6649,0.001
244,0.6632,0.001
245,0.6636,0.001
246,0.6698,0.001
247,0.6674,0.001
248,0.6585,0.001
249,0.6666,0.001
250,0.6599,0.001
251,0.6615,0.001
252,0.665,0.001
253,0.668,0.001
254,0.6806,0.001
255,0.6668,0.001
256,0.6722,0.001
257,0.6788,0.001
258,0.6739,0.001
259,0.6649,0.001
260,0.6662,0.001
261,0.6662,0.001
262,0.6598,0.001
263,0.6648,0.001
264,0.6642,0.001
265,0.6651,0.001
266,0.6541,0.001
267,0.6654,0.001
268,0.653,0.001
269,0.6629,0.001
270,0.6705,0.001
271,0.6683,0.001
272,0.6771,0.001
273,0.6784,0.001
274,0.6675,0.001
275,0.6579,0.001
276,0.6692,0.001
277,0.6589,0.001
278,0.6565,0.001
279,0.6701,0.001
280,0.6736,0.001
281,0.6669,0.001
282,0.6723,0.001
283,0.6702,0.001
284,0.6771,0.001
285,0.6648,0.001
286,0.6735,0.001
287,0.6656,0.001
288,0.6758,0.001
289,0.667,0.001
290,0.6715,0.001
291,0.6688,0.001
292,0.6739,0.001
293,0.6724,0.001
294,0.6745,0.001
295,0.6786,0.001
296,0.6776,0.001
297,0.679,0.001
298,0.6797,0.001
299,0.6804,0.001
300,0.6914,0.0001
301,0.701,0.0002
