,accuracy
0,0.1115
1,0.3063
2,0.439
3,0.3812
4,0.331
5,0.2575
6,0.3227
7,0.3091
8,0.3375
9,0.3576
10,0.4092
11,0.3877
12,0.4838
13,0.4316
14,0.4726
15,0.4783
16,0.4713
17,0.4645
18,0.3812
19,0.4635
20,0.4922
21,0.4503
22,0.4577
23,0.4933
24,0.4729
25,0.459
26,0.4692
27,0.4894
28,0.5048
29,0.5052
30,0.4849
31,0.4847
32,0.5088
33,0.5197
34,0.5
35,0.4335
36,0.5077
37,0.518
38,0.4903
39,0.4683
40,0.5231
41,0.5088
42,0.5261
43,0.4904
44,0.5201
45,0.5045
46,0.5328
47,0.5151
48,0.5101
49,0.5236
50,0.5112
51,0.4941
52,0.4868
53,0.47
54,0.5266
55,0.5253
56,0.487
57,0.5252
58,0.5262
59,0.5282
60,0.531
61,0.5333
62,0.5109
63,0.5124
64,0.5279
65,0.5272
66,0.4802
67,0.5296
68,0.5429
69,0.5183
70,0.5228
71,0.5351
72,0.5376
73,0.4693
74,0.5265
75,0.5203
76,0.5325
77,0.5366
78,0.5225
79,0.5306
80,0.5073
81,0.525
82,0.5455
83,0.513
84,0.5484
85,0.5352
86,0.5432
87,0.5487
88,0.5503
89,0.5546
90,0.5517
91,0.5384
92,0.5348
93,0.5467
94,0.546
95,0.5083
96,0.537
97,0.5399
98,0.5393
99,0.5379
100,0.5815
101,0.6078
102,0.6271
103,0.6235
104,0.6076
105,0.6114
106,0.6143
107,0.617
108,0.6124
109,0.6014
110,0.6043
111,0.6074
112,0.585
113,0.6033
114,0.6007
115,0.6187
116,0.6126
117,0.6085
118,0.6071
119,0.6114
120,0.596
121,0.6079
122,0.6072
123,0.6209
124,0.6175
125,0.6057
126,0.6254
127,0.5994
128,0.6111
129,0.5954
130,0.6172
131,0.6014
132,0.6254
133,0.6157
134,0.5984
135,0.6106
136,0.6241
137,0.6207
138,0.611
139,0.6158
140,0.6059
141,0.6165
142,0.619
143,0.6132
144,0.6144
145,0.615
146,0.6124
147,0.6042
148,0.6234
149,0.6242
150,0.6239
151,0.6246
152,0.6147
153,0.6224
154,0.6057
155,0.6167
156,0.6289
157,0.626
158,0.6243
159,0.6218
160,0.6165
161,0.616
162,0.6142
163,0.6243
164,0.6403
165,0.6333
166,0.6336
167,0.6368
168,0.6261
169,0.5913
170,0.6237
171,0.6187
172,0.6302
173,0.631
174,0.6272
175,0.6338
176,0.6291
177,0.6264
178,0.6186
179,0.6303
180,0.6094
181,0.6232
182,0.6271
183,0.6177
184,0.6282
185,0.6259
186,0.6272
187,0.6359
188,0.6264
189,0.6213
190,0.6205
191,0.6197
192,0.6247
193,0.6335
194,0.6353
195,0.6184
196,0.6267
197,0.6287
198,0.6197
199,0.6331
200,0.653
201,0.6693
202,0.6803
203,0.678
204,0.6746
205,0.6739
206,0.6669
207,0.6674
208,0.6609
209,0.6686
210,0.6625
211,0.6737
212,0.6629
213,0.6715
214,0.6763
215,0.6736
216,0.6506
217,0.6682
218,0.6817
219,0.6693
220,0.6652
221,0.6695
222,0.6688
223,0.6838
224,0.6609
225,0.6745
226,0.6706
227,0.6693
228,0.6661
229,0.6699
230,0.6719
231,0.68
232,0.6755
233,0.6779
234,0.6759
235,0.6738
236,0.6716
237,0.6794
238,0.6841
239,0.6817
240,0.6682
241,0.6692
242,0.647
243,0.6728
244,0.6708
245,0.6756
246,0.6722
247,0.6756
248,0.6746
249,0.6733
250,0.6766
251,0.6752
252,0.6624
253,0.6613
254,0.6689
255,0.6783
256,0.6785
257,0.6827
258,0.6705
259,0.6752
260,0.6729
261,0.6846
262,0.6842
263,0.6733
264,0.6699
265,0.6766
266,0.6598
267,0.6804
268,0.6857
269,0.6736
270,0.686
271,0.6725
272,0.6825
273,0.6723
274,0.6726
275,0.678
276,0.6723
277,0.6661
278,0.6726
279,0.6846
280,0.6794
281,0.6796
282,0.6708
283,0.6673
284,0.6773
285,0.6787
286,0.6798
287,0.6809
288,0.6733
289,0.6808
290,0.68
291,0.6838
292,0.678
293,0.6723
294,0.6842
295,0.6764
296,0.6763
297,0.6836
298,0.6787
299,0.6679
300,0.6902
301,0.7025
302,0.7074
303,0.7115
304,0.7087
305,0.7097
306,0.7041
307,0.7051
308,0.6945
309,0.6767
310,0.6832
311,0.703
312,0.6967
313,0.7046
314,0.6986
315,0.6957
316,0.7081
317,0.7113
318,0.7103
319,0.7045
320,0.7076
321,0.7056
322,0.7037
323,0.7061
324,0.7073
325,0.6965
326,0.6901
327,0.7017
328,0.6977
329,0.7062
330,0.7115
331,0.7063
332,0.6977
333,0.7007
334,0.7097
335,0.7072
336,0.7019
337,0.7104
338,0.709
339,0.7087
340,0.7105
341,0.7029
342,0.7047
343,0.7073
344,0.7065
345,0.7019
346,0.702
347,0.7041
348,0.7102
349,0.7028
350,0.7119
351,0.7109
352,0.7039
353,0.7025
354,0.7066
355,0.7133
356,0.708
357,0.7131
358,0.7033
359,0.7086
360,0.7089
361,0.7072
362,0.7076
363,0.7075
364,0.7121
365,0.7095
366,0.6985
367,0.713
368,0.6966
369,0.7066
370,0.7107
371,0.7013
372,0.7076
373,0.7039
374,0.7077
375,0.6997
376,0.6909
377,0.6957
378,0.7112
379,0.7119
380,0.7117
381,0.7092
382,0.7096
383,0.7174
384,0.7048
385,0.7135
386,0.7098
387,0.7153
388,0.7117
389,0.7147
390,0.7184
391,0.7175
392,0.7214
393,0.7209
394,0.7229
395,0.715
396,0.6972
397,0.7011
398,0.7009
399,0.7058
400,0.7209
401,0.7293
402,0.7377
403,0.7372
404,0.7355
405,0.7311
406,0.734
407,0.7287
408,0.7283
409,0.725
410,0.7231
411,0.7232
412,0.7323
413,0.7364
414,0.7302
415,0.7372
416,0.734
417,0.7311
418,0.7332
419,0.7349
420,0.7333
421,0.7381
422,0.7363
423,0.7336
424,0.7383
425,0.7232
426,0.732
427,0.7321
428,0.7363
429,0.7328
430,0.7342
431,0.726
432,0.7244
433,0.7329
434,0.7276
435,0.7388
436,0.7354
437,0.7305
438,0.7282
439,0.7209
440,0.731
441,0.726
442,0.7191
443,0.7386
444,0.7394
445,0.7395
446,0.7392
447,0.7402
448,0.7413
449,0.7416
450,0.7405
451,0.7407
452,0.7405
453,0.742
454,0.7411
455,0.743
456,0.7408
457,0.7422
458,0.7433
459,0.7437
460,0.7424
461,0.742
462,0.7428
463,0.7419
464,0.7423
465,0.7426
466,0.7429
467,0.7413
