,accuracy
0,0.1133
1,0.3721
2,0.3489
3,0.433
4,0.2922
5,0.2966
6,0.3989
7,0.2806
8,0.3356
9,0.4055
10,0.4104
11,0.2328
12,0.4196
13,0.5024
14,0.3295
15,0.4385
16,0.4462
17,0.5013
18,0.4469
19,0.4784
20,0.4299
21,0.4537
22,0.4545
23,0.4647
24,0.4772
25,0.5079
26,0.5217
27,0.4755
28,0.5087
29,0.4807
30,0.5138
31,0.4858
32,0.4986
33,0.4578
34,0.5231
35,0.48
36,0.4759
37,0.5256
38,0.514
39,0.5113
40,0.5118
41,0.5331
42,0.5184
43,0.5007
44,0.4665
45,0.5376
46,0.5115
47,0.523
48,0.5435
49,0.5325
50,0.5284
51,0.543
52,0.5409
53,0.5106
54,0.529
55,0.5363
56,0.5398
57,0.5425
58,0.5324
59,0.5382
60,0.5365
61,0.5408
62,0.5181
63,0.5501
64,0.5477
65,0.5246
66,0.5559
67,0.5514
68,0.5256
69,0.5603
70,0.5254
71,0.5202
72,0.5298
73,0.5406
74,0.5291
75,0.5261
76,0.542
77,0.54
78,0.5335
79,0.5278
80,0.5351
81,0.5463
82,0.5209
83,0.5534
84,0.4986
85,0.5498
86,0.553
87,0.551
88,0.5275
89,0.5258
90,0.5488
91,0.5439
92,0.5218
93,0.5501
94,0.5222
95,0.5561
96,0.5334
97,0.5425
98,0.5696
99,0.5223
100,0.6046
101,0.6304
102,0.6406
103,0.6466
104,0.6415
105,0.6289
106,0.6033
107,0.6209
108,0.6221
109,0.6271
110,0.6045
111,0.5966
112,0.6087
113,0.5979
114,0.6138
115,0.6206
116,0.6203
117,0.6115
118,0.6205
119,0.6261
120,0.635
121,0.61
122,0.6311
123,0.615
124,0.6281
125,0.6095
126,0.6203
127,0.6326
128,0.6344
129,0.6365
130,0.5995
131,0.6293
132,0.632
133,0.622
134,0.624
135,0.628
136,0.6353
137,0.6114
138,0.6317
139,0.6126
140,0.6249
141,0.6233
142,0.6401
143,0.6257
144,0.6262
145,0.6237
146,0.6389
147,0.6281
148,0.6323
149,0.6309
150,0.6109
151,0.6278
152,0.6232
153,0.6154
154,0.6385
155,0.6341
156,0.6148
157,0.6258
158,0.6258
159,0.6327
160,0.6396
161,0.6433
162,0.6468
163,0.6498
164,0.6386
165,0.6294
166,0.6325
167,0.6362
168,0.6274
169,0.6263
170,0.6505
171,0.6391
172,0.6476
173,0.6353
174,0.623
175,0.629
176,0.6278
177,0.6231
178,0.6401
179,0.6361
180,0.633
181,0.6444
182,0.635
183,0.6385
184,0.6318
185,0.6355
186,0.646
187,0.6437
188,0.6295
189,0.6422
190,0.6535
191,0.6314
192,0.6397
193,0.6345
194,0.6376
195,0.6518
196,0.6456
197,0.6483
198,0.6518
199,0.6504
200,0.6667
201,0.6835
202,0.695
203,0.6981
204,0.6979
205,0.6826
206,0.6775
207,0.6752
208,0.6775
209,0.6825
210,0.6643
211,0.6774
212,0.6755
213,0.6753
214,0.6835
215,0.6985
216,0.6772
217,0.6801
218,0.6814
219,0.6788
220,0.6778
221,0.6753
222,0.6649
223,0.6775
224,0.6891
225,0.6891
226,0.6784
227,0.688
228,0.682
229,0.6876
230,0.6883
231,0.6863
232,0.6922
233,0.6902
234,0.684
235,0.6845
236,0.6869
237,0.6852
238,0.694
239,0.6855
240,0.6873
241,0.6913
242,0.6769
243,0.6752
244,0.683
245,0.6705
246,0.6812
247,0.6961
248,0.6955
249,0.6854
250,0.6883
251,0.6877
252,0.6844
253,0.6732
254,0.6772
255,0.6706
256,0.6714
257,0.6861
258,0.6797
259,0.6628
260,0.6865
261,0.6848
262,0.6822
263,0.6804
264,0.682
265,0.6795
266,0.6817
267,0.6912
268,0.6898
269,0.6805
270,0.6864
271,0.696
272,0.6921
273,0.6942
274,0.6865
275,0.6707
276,0.6733
277,0.6761
278,0.6823
279,0.6784
280,0.6817
281,0.6878
282,0.6715
283,0.6783
284,0.6724
285,0.6824
286,0.6887
287,0.6847
288,0.6954
289,0.6866
290,0.6738
291,0.6829
292,0.6834
293,0.6843
294,0.6924
295,0.6808
296,0.6865
297,0.6889
298,0.687
299,0.6861
300,0.7007
301,0.7099
302,0.7157
303,0.7143
304,0.7195
305,0.7168
306,0.7141
307,0.6918
308,0.706
309,0.7161
310,0.7013
311,0.7157
312,0.7088
313,0.7139
314,0.7026
315,0.7152
316,0.7164
317,0.7175
318,0.7091
319,0.7123
320,0.7106
321,0.7035
322,0.7109
323,0.7163
324,0.7133
325,0.7065
326,0.7164
327,0.7104
328,0.7133
329,0.7136
330,0.7062
331,0.7156
332,0.7081
333,0.7208
334,0.7188
335,0.7173
336,0.7143
337,0.7086
338,0.706
339,0.7095
340,0.705
341,0.7128
342,0.7145
343,0.7143
344,0.7064
345,0.7027
346,0.719
347,0.7182
348,0.7085
349,0.7026
350,0.7197
351,0.718
352,0.7118
353,0.719
354,0.7116
355,0.6955
356,0.7097
357,0.7082
358,0.7162
359,0.7174
360,0.7157
361,0.7088
362,0.7106
363,0.7077
364,0.7095
365,0.7177
366,0.7189
367,0.713
368,0.7143
369,0.7265
370,0.7182
371,0.7169
372,0.7082
373,0.7103
374,0.708
375,0.7181
376,0.7225
377,0.7194
378,0.7204
379,0.7224
380,0.7228
381,0.724
382,0.7248
383,0.7227
384,0.714
385,0.7068
386,0.7098
387,0.7142
388,0.6971
389,0.721
390,0.7036
391,0.7188
392,0.703
393,0.7105
394,0.7187
395,0.7194
396,0.7209
397,0.718
398,0.7124
399,0.7068
400,0.7206
401,0.7296
402,0.7355
403,0.7361
404,0.7384
405,0.7371
406,0.7344
407,0.7369
408,0.735
409,0.7254
410,0.7199
411,0.7305
412,0.7281
413,0.7309
414,0.7304
415,0.7357
416,0.7382
417,0.7361
418,0.7339
419,0.7353
420,0.73
421,0.738
422,0.7367
423,0.7376
424,0.7311
425,0.7314
426,0.7341
427,0.738
428,0.7303
429,0.7362
430,0.7404
431,0.7409
432,0.7456
433,0.7453
434,0.7432
435,0.7445
436,0.7434
437,0.7429
438,0.7425
439,0.7427
440,0.746
441,0.7434
442,0.7451
443,0.7455
444,0.7446
445,0.7461
446,0.7458
447,0.7455
448,0.7469
449,0.7455
450,0.7461
451,0.7468
452,0.7459
453,0.7473
454,0.746
455,0.7456
456,0.7467
457,0.7445
458,0.6782
459,0.7031
460,0.7326
461,0.7395
462,0.7358
463,0.7389
464,0.7409
465,0.7327
466,0.7325
467,0.7363
468,0.7391
469,0.7395
470,0.7427
471,0.7452
472,0.7411
473,0.7475
474,0.7405
475,0.7384
476,0.7332
477,0.7396
478,0.7438
479,0.743
480,0.7481
481,0.7421
482,0.745
483,0.7451
484,0.7455
485,0.7388
486,0.7227
487,0.7328
488,0.7406
489,0.7432
490,0.7363
491,0.7395
492,0.7453
493,0.7458
494,0.7416
495,0.7339
496,0.7381
497,0.7335
498,0.7378
499,0.7244
500,0.7409
501,0.7459
502,0.7508
503,0.7506
504,0.7515
505,0.753
506,0.7524
507,0.755
508,0.7546
509,0.7484
510,0.7407
511,0.7447
512,0.7491
513,0.7471
514,0.7496
515,0.7562
516,0.7567
517,0.7594
518,0.7589
519,0.7535
520,0.7495
521,0.7539
522,0.7489
523,0.7485
524,0.7522
525,0.75
526,0.7458
527,0.7506
528,0.7479
529,0.7522
530,0.7501
531,0.753
532,0.7486
533,0.7455
534,0.7489
535,0.7499
536,0.7475
537,0.752
538,0.7514
539,0.7521
540,0.7533
541,0.7518
542,0.7506
543,0.7591
544,0.7477
545,0.7461
546,0.7563
547,0.7515
548,0.7547
549,0.7567
550,0.7578
551,0.7583
552,0.7586
553,0.7532
554,0.7468
555,0.7526
556,0.7466
557,0.7527
558,0.7561
559,0.7602
560,0.7591
561,0.7593
562,0.7599
563,0.7612
564,0.7583
565,0.7572
566,0.7501
567,0.7437
568,0.7455
569,0.7532
570,0.7568
571,0.7592
572,0.7633
573,0.7656
574,0.7667
575,0.7644
576,0.7642
577,0.766
578,0.7668
579,0.7674
580,0.7678
581,0.7661
582,0.7671
583,0.7655
584,0.7672
585,0.7672
586,0.7655
587,0.7644
588,0.7355
589,0.7532
590,0.7543
591,0.7606
592,0.7616
593,0.7635
594,0.7626
595,0.764
596,0.7633
597,0.7631
598,0.756
599,0.744
600,0.7581
601,0.764
602,0.7689
603,0.7702
604,0.7699
605,0.7681
606,0.7681
607,0.7677
608,0.7682
609,0.7685
610,0.7698
611,0.7539
612,0.7573
613,0.7669
614,0.7662
615,0.764
616,0.7594
617,0.769
618,0.7612
619,0.7595
620,0.7615
621,0.7702
622,0.7617
623,0.769
624,0.7686
625,0.7733
626,0.7712
627,0.769
628,0.7717
629,0.7589
630,0.7627
631,0.7698
632,0.7687
633,0.7636
634,0.7694
635,0.7699
636,0.7615
637,0.7636
638,0.7713
639,0.7701
640,0.7715
641,0.7658
642,0.7561
643,0.7679
644,0.7619
645,0.7668
646,0.7683
647,0.7669
648,0.768
649,0.7699
650,0.7698
651,0.769
652,0.7691
653,0.7673
654,0.769
655,0.7354
656,0.7548
657,0.7681
658,0.7685
659,0.7691
660,0.7658
661,0.7668
662,0.7634
663,0.77
664,0.7666
665,0.7623
666,0.7625
667,0.7674
668,0.7611
669,0.7608
670,0.7614
671,0.7673
672,0.7612
673,0.7666
674,0.7596
675,0.7706
676,0.7643
677,0.7641
678,0.7648
679,0.7639
680,0.7663
681,0.7675
682,0.7657
683,0.7667
684,0.7504
685,0.7677
686,0.7713
687,0.773
688,0.7728
689,0.7728
690,0.7731
691,0.7731
692,0.773
693,0.7754
694,0.7751
695,0.7745
696,0.7758
697,0.7755
698,0.7757
699,0.775
700,0.7748
701,0.7756
702,0.778
703,0.7803
704,0.7797
705,0.779
706,0.7811
707,0.7807
708,0.7788
709,0.7807
710,0.783
711,0.7807
712,0.7819
713,0.7816
714,0.7825
715,0.7756
716,0.766
717,0.778
718,0.7742
719,0.7798
720,0.7737
721,0.7737
722,0.7774
723,0.7708
724,0.7781
725,0.7723
726,0.7686
727,0.7749
728,0.7747
729,0.774
730,0.777
731,0.7721
732,0.7746
733,0.7761
734,0.775
735,0.7734
736,0.7735
737,0.775
738,0.7746
739,0.7774
740,0.7776
741,0.7628
742,0.7735
743,0.7702
744,0.778
745,0.7812
746,0.7789
747,0.7789
748,0.7744
749,0.7696
750,0.7744
751,0.7755
752,0.7804
753,0.7821
754,0.7845
755,0.7827
756,0.7796
757,0.7734
758,0.7739
759,0.7775
760,0.7812
761,0.7793
762,0.7821
763,0.7809
764,0.7797
765,0.7713
766,0.7708
767,0.7805
768,0.7778
769,0.7841
770,0.7729
771,0.7803
772,0.7785
773,0.7767
774,0.7769
775,0.7734
776,0.7772
777,0.7786
778,0.7803
779,0.7799
780,0.7776
781,0.7761
782,0.7686
783,0.7738
784,0.777
785,0.7803
786,0.7775
787,0.7817
788,0.7811
789,0.7782
790,0.7717
791,0.7731
792,0.7743
793,0.7788
794,0.7729
795,0.7783
796,0.7827
797,0.7848
798,0.7847
799,0.779
800,0.7886
801,0.7877
802,0.7903
803,0.7907
804,0.7913
805,0.7906
806,0.7897
807,0.7901
808,0.7907
809,0.7907
810,0.7911
811,0.7918
812,0.7913
813,0.7917
814,0.7925
815,0.7923
816,0.7918
817,0.7915
818,0.7897
819,0.7908
820,0.7661
821,0.7826
822,0.7973
823,0.7915
824,0.7961
825,0.7963
826,0.7947
827,0.7961
828,0.796
829,0.7962
830,0.7956
831,0.7963
832,0.7964
833,0.7961
834,0.7943
835,0.7813
836,0.7882
837,0.7956
838,0.7933
839,0.7961
840,0.7952
841,0.7972
842,0.7967
843,0.7956
844,0.7967
845,0.7974
846,0.7959
847,0.7968
848,0.7967
849,0.7956
850,0.7968
851,0.7966
852,0.7971
853,0.7974
854,0.7969
855,0.7959
856,0.7971
857,0.7978
858,0.7972
859,0.7979
860,0.7975
861,0.7961
862,0.7983
863,0.7968
864,0.7973
865,0.7974
866,0.7978
867,0.7982
868,0.7974
869,0.7986
870,0.7987
871,0.7989
872,0.7987
873,0.7955
874,0.7964
875,0.7971
876,0.7976
877,0.7982
878,0.7982
879,0.7852
880,0.7906
881,0.797
882,0.8007
883,0.8008
884,0.8013
885,0.8031
886,0.8004
887,0.8028
888,0.8013
889,0.7835
890,0.7929
891,0.7916
892,0.7932
893,0.7933
894,0.7976
895,0.7888
896,0.7938
897,0.7948
898,0.7954
899,0.795
900,0.7967
901,0.7994
902,0.8024
903,0.8042
904,0.8046
905,0.8043
906,0.8063
907,0.8045
908,0.8065
909,0.8079
910,0.8085
911,0.8073
912,0.807
913,0.7983
914,0.7924
915,0.8027
916,0.8006
