,accuracy
0,0.1099
1,0.2996
2,0.4514
3,0.4192
4,0.4084
5,0.367
6,0.4244
7,0.4042
8,0.3543
9,0.3274
10,0.3235
11,0.3986
12,0.4538
13,0.4181
14,0.4174
15,0.4565
16,0.4353
17,0.4772
18,0.4282
19,0.4435
20,0.4818
21,0.4538
22,0.4797
23,0.4592
24,0.4441
25,0.5097
26,0.5258
27,0.5134
28,0.4895
29,0.4885
30,0.5004
31,0.4988
32,0.4695
33,0.4946
34,0.5142
35,0.4917
36,0.4777
37,0.5181
38,0.4885
39,0.5193
40,0.5057
41,0.4941
42,0.5076
43,0.4899
44,0.492
45,0.5046
46,0.5017
47,0.4864
48,0.4875
49,0.4845
50,0.5209
51,0.5048
52,0.4858
53,0.5191
54,0.511
55,0.5226
56,0.5024
57,0.5055
58,0.5314
59,0.5015
60,0.55
61,0.5267
62,0.5243
63,0.5385
64,0.5114
65,0.5227
66,0.5424
67,0.547
68,0.5202
69,0.5278
70,0.5012
71,0.5206
72,0.5186
73,0.5229
74,0.5221
75,0.5197
76,0.5507
77,0.5453
78,0.5417
79,0.5369
80,0.533
81,0.504
82,0.5237
83,0.5463
84,0.5318
85,0.5361
86,0.5172
87,0.5178
88,0.5312
89,0.534
90,0.5291
91,0.54
92,0.5288
93,0.4962
94,0.5398
95,0.5351
96,0.5432
97,0.5377
98,0.5413
99,0.5349
100,0.5891
101,0.6202
102,0.6373
103,0.6324
104,0.6165
105,0.6252
106,0.6095
107,0.6194
108,0.5938
109,0.6099
110,0.6039
111,0.5927
112,0.5969
113,0.5935
114,0.6132
115,0.6059
116,0.6136
117,0.599
118,0.604
119,0.601
120,0.6142
121,0.6109
122,0.6098
123,0.612
124,0.6293
125,0.6247
126,0.61
127,0.6127
128,0.6215
129,0.607
130,0.6226
131,0.6223
132,0.6185
133,0.6268
134,0.6178
135,0.6112
136,0.6076
137,0.6253
138,0.6333
139,0.6286
140,0.6191
141,0.6294
142,0.6273
143,0.6227
144,0.5962
145,0.6361
146,0.6171
147,0.629
148,0.6144
149,0.6337
150,0.6286
151,0.6292
152,0.6273
153,0.6144
154,0.6276
155,0.6268
156,0.6189
157,0.6186
158,0.6259
159,0.622
160,0.6341
161,0.6237
162,0.625
163,0.6316
164,0.6342
165,0.6126
166,0.6317
167,0.6297
168,0.6106
169,0.6216
170,0.6205
171,0.6339
172,0.6289
173,0.6259
174,0.6244
175,0.6415
176,0.633
177,0.6327
178,0.6396
179,0.6286
180,0.6345
181,0.6393
182,0.6349
183,0.6243
184,0.6308
185,0.6283
186,0.6088
187,0.6273
188,0.6278
189,0.6184
190,0.6162
191,0.6322
192,0.6266
193,0.6391
194,0.6374
195,0.6202
196,0.629
197,0.6315
198,0.6217
199,0.6184
200,0.6662
201,0.6815
202,0.6886
203,0.6881
204,0.69
205,0.6823
206,0.6799
207,0.6718
208,0.6691
209,0.6599
210,0.6685
211,0.6899
212,0.6807
213,0.6814
214,0.6735
215,0.6732
216,0.6722
217,0.6791
218,0.6734
219,0.6866
220,0.6705
221,0.6737
222,0.6799
223,0.6705
224,0.6757
225,0.6688
226,0.6842
227,0.6827
228,0.6882
229,0.6588
230,0.6711
231,0.6731
232,0.6831
233,0.6731
234,0.6701
235,0.6816
236,0.6744
237,0.6734
238,0.6715
239,0.6717
240,0.6692
241,0.679
242,0.6805
243,0.6741
244,0.6676
245,0.6767
246,0.6902
247,0.6834
248,0.6746
249,0.6764
250,0.6747
251,0.6828
252,0.6756
253,0.6808
254,0.6798
255,0.6875
256,0.6805
257,0.6734
258,0.6824
259,0.6809
260,0.676
261,0.6791
262,0.658
263,0.6803
264,0.6783
265,0.6847
266,0.6834
267,0.6815
268,0.6722
269,0.6818
270,0.6862
271,0.6845
272,0.665
273,0.6679
274,0.6778
275,0.6887
276,0.6845
277,0.6734
278,0.6876
279,0.6785
280,0.6822
281,0.6833
282,0.6855
283,0.6983
284,0.6924
285,0.6864
