,timestamp,accuracy
0,1783114455.2820454,0.1002
1,1783114460.5020423,0.2837
2,1783114466.3156204,0.4034
3,1783114471.5414066,0.3782
4,1783114476.7832787,0.3883
5,1783114482.0438666,0.3712
6,1783114487.267728,0.3806
7,1783114492.5152528,0.3926
8,1783114497.9335291,0.3937
9,1783114503.0916858,0.3603
10,1783114508.2835646,0.379
11,1783114513.2384036,0.4139
12,1783114518.3441973,0.3921
13,1783114523.61696,0.3562
14,1783114528.8194351,0.3711
15,1783114534.127364,0.4164
16,1783114539.3631835,0.3901
17,1783114544.7429864,0.4123
18,1783114549.983278,0.4388
19,1783114555.1456437,0.4507
20,1783114560.3511167,0.3591
21,1783114565.593227,0.4557
22,1783114570.714502,0.4096
23,1783114575.9768536,0.3938
24,1783114581.1636329,0.4256
25,1783114586.3360882,0.4388
26,1783114591.4646966,0.4368
27,1783114596.6671708,0.4394
28,1783114601.9114234,0.4145
29,1783114607.047149,0.4103
30,1783114612.2995944,0.4318
31,1783114618.0506303,0.3961
32,1783114623.238474,0.4461
33,1783114628.410729,0.4136
34,1783114633.6286952,0.4645
35,1783114638.729024,0.4429
36,1783114644.0242999,0.451
37,1783114649.2543418,0.428
38,1783114654.4186783,0.4058
39,1783114659.5685735,0.4286
40,1783114664.6760216,0.4325
41,1783114669.794834,0.4571
42,1783114674.911748,0.4546
43,1783114680.022052,0.453
44,1783114685.1497662,0.4597
45,1783114690.274747,0.4218
46,1783114695.3799264,0.4733
47,1783114700.549095,0.4544
48,1783114705.7528534,0.4766
49,1783114710.9624064,0.4443
50,1783114716.172926,0.4459
51,1783114721.3213,0.4689
52,1783114726.4959183,0.4615
53,1783114731.6901267,0.444
54,1783114736.922134,0.4603
55,1783114742.448387,0.4588
56,1783114747.850529,0.4501
57,1783114753.06223,0.4684
58,1783114758.2609572,0.4817
59,1783114763.3779361,0.4787
60,1783114768.53013,0.4292
61,1783114773.7177582,0.4604
62,1783114778.9117122,0.4599
63,1783114784.0435953,0.4842
64,1783114789.2041075,0.4914
65,1783114794.3694665,0.4859
66,1783114799.5738983,0.4666
67,1783114804.794622,0.4482
68,1783114809.9820597,0.4619
69,1783114815.1269822,0.4739
70,1783114820.2240286,0.4525
71,1783114825.3641658,0.4638
72,1783114830.4965508,0.4339
73,1783114835.6485894,0.4819
74,1783114840.8155007,0.4748
75,1783114845.9288933,0.4569
76,1783114851.072699,0.4932
77,1783114856.1803825,0.464
78,1783114861.319915,0.4644
79,1783114866.3955488,0.4801
80,1783114871.5149186,0.4858
81,1783114876.6257842,0.4651
82,1783114881.7446706,0.4894
83,1783114886.8445659,0.4583
84,1783114892.0094697,0.4999
85,1783114897.12021,0.4656
86,1783114902.2520845,0.4937
87,1783114907.4064877,0.4769
88,1783114912.6572711,0.4936
89,1783114917.8068235,0.4895
90,1783114922.941289,0.4766
91,1783114928.0755405,0.5045
92,1783114933.2225661,0.4868
93,1783114938.3714936,0.4971
94,1783114943.5625188,0.486
95,1783114948.7330015,0.485
96,1783114953.912875,0.4739
97,1783114959.110459,0.4827
98,1783114964.4396353,0.468
99,1783114969.6356843,0.4773
100,1783114980.62987,0.5381
101,1783114987.8692243,0.5577
102,1783114995.1088364,0.5644
103,1783115002.2556038,0.5569
104,1783115009.4346347,0.5524
105,1783115016.698969,0.5446
106,1783115023.8415473,0.5352
107,1783115031.088165,0.5432
108,1783115038.2696097,0.5415
109,1783115045.5285046,0.525
110,1783115052.7307854,0.5368
111,1783115059.9693573,0.5001
112,1783115067.252068,0.5332
113,1783115074.526656,0.5445
114,1783115081.8422594,0.5263
115,1783115089.0143557,0.5575
