,accuracy
0,0.1159
1,0.3402
2,0.3601
3,0.3559
4,0.4354
5,0.3101
6,0.3471
7,0.3091
8,0.3787
9,0.3369
10,0.3936
11,0.342
12,0.4718
13,0.4241
14,0.4798
15,0.4257
16,0.4604
17,0.4188
18,0.4752
19,0.4597
20,0.4521
21,0.4484
22,0.488
23,0.488
24,0.4882
25,0.4398
26,0.518
27,0.4158
28,0.3817
29,0.5178
30,0.5014
31,0.4615
32,0.4851
33,0.4777
34,0.4689
35,0.4157
36,0.4817
37,0.4778
38,0.4738
39,0.4943
40,0.4924
41,0.4726
42,0.5464
43,0.5076
44,0.491
45,0.4702
46,0.5152
47,0.4792
48,0.5268
49,0.513
50,0.5047
51,0.5136
52,0.5319
53,0.547
54,0.5324
55,0.5291
56,0.5227
57,0.4856
58,0.5305
59,0.5041
60,0.505
61,0.5374
62,0.5055
63,0.5302
64,0.5225
65,0.5265
66,0.5388
67,0.5532
68,0.5168
69,0.4945
70,0.5342
71,0.5431
72,0.544
73,0.496
74,0.5028
75,0.5194
76,0.5298
77,0.5322
78,0.5377
79,0.5565
80,0.5481
81,0.5452
82,0.5416
83,0.5281
84,0.5369
85,0.543
86,0.5417
87,0.5456
88,0.5395
89,0.5483
90,0.5124
91,0.554
92,0.5414
93,0.5436
94,0.5435
95,0.543
96,0.5532
97,0.5342
98,0.5171
99,0.519
100,0.5941
101,0.6225
102,0.6335
103,0.6368
104,0.6293
105,0.6219
106,0.6132
107,0.6119
108,0.6035
109,0.6152
110,0.6046
111,0.6183
112,0.5998
113,0.6072
114,0.6172
115,0.6072
116,0.6188
117,0.5903
118,0.6153
119,0.6041
120,0.6118
121,0.6134
122,0.6226
123,0.6099
124,0.6032
125,0.6092
126,0.6067
127,0.6033
128,0.6026
129,0.6065
130,0.6164
131,0.5903
132,0.6161
133,0.6091
134,0.6255
135,0.5863
136,0.6167
137,0.6082
138,0.609
139,0.6017
140,0.6078
141,0.6145
142,0.5997
143,0.6257
144,0.6223
145,0.636
146,0.6218
147,0.6163
148,0.6281
149,0.6317
150,0.6255
151,0.603
152,0.6173
153,0.6163
154,0.6205
155,0.6119
156,0.6164
157,0.6235
158,0.618
159,0.6221
160,0.6279
161,0.6141
162,0.6171
163,0.6307
164,0.6161
165,0.6174
166,0.6257
167,0.6275
168,0.612
169,0.6195
170,0.6221
171,0.6198
172,0.6363
173,0.6276
174,0.6063
175,0.6267
176,0.6313
177,0.6322
178,0.6333
179,0.6281
180,0.6305
181,0.6206
182,0.6205
183,0.6246
184,0.6138
185,0.6217
186,0.6278
187,0.6061
188,0.6225
189,0.6299
190,0.6219
191,0.6301
192,0.6376
193,0.6384
194,0.6366
195,0.6305
196,0.6359
197,0.6354
198,0.6255
199,0.6373
200,0.6536
201,0.6657
202,0.6805
203,0.6829
204,0.6839
205,0.665
206,0.678
207,0.6727
208,0.6661
209,0.6668
210,0.6619
211,0.664
212,0.6661
213,0.6534
214,0.6715
215,0.6714
216,0.6709
217,0.669
218,0.67
219,0.658
220,0.6636
221,0.6772
222,0.6722
223,0.663
224,0.667
225,0.666
226,0.6693
227,0.6763
228,0.6854
229,0.6731
230,0.6719
231,0.6763
232,0.669
233,0.6726
234,0.6675
235,0.6675
236,0.6686
237,0.6653
238,0.6685
239,0.6673
240,0.6687
241,0.6712
242,0.672
243,0.6737
244,0.6647
245,0.6629
246,0.6622
247,0.6682
248,0.6772
249,0.6637
250,0.6627
251,0.6672
252,0.677
253,0.6742
254,0.6783
255,0.6739
256,0.6715
257,0.6711
258,0.6679
259,0.6803
260,0.6775
261,0.6773
262,0.6788
263,0.6658
264,0.667
265,0.668
266,0.6753
267,0.6836
268,0.6684
269,0.6722
270,0.674
271,0.6683
272,0.6705
273,0.6713
274,0.6762
275,0.6794
276,0.6748
277,0.6857
278,0.6805
279,0.676
280,0.684
281,0.6888
282,0.6728
283,0.6815
284,0.6808
285,0.6776
286,0.6671
287,0.6789
288,0.6743
289,0.6756
290,0.672
291,0.6759
292,0.6779
293,0.6751
294,0.6808
295,0.6627
296,0.6813
297,0.6742
298,0.6836
299,0.6616
300,0.6871
301,0.6992
302,0.7088
303,0.7086
304,0.7069
305,0.7054
306,0.7045
307,0.7032
308,0.7024
309,0.6911
310,0.6982
311,0.6947
312,0.7097
313,0.7067
314,0.6978
315,0.7014
316,0.6964
317,0.7046
318,0.7034
319,0.7032
320,0.7037
321,0.6992
322,0.7062
323,0.7093
324,0.7017
325,0.7014
326,0.6948
327,0.7059
328,0.7103
329,0.6939
330,0.6972
331,0.6981
332,0.7052
333,0.7032
334,0.702
335,0.7118
336,0.7022
337,0.6971
338,0.7035
339,0.7073
340,0.7087
341,0.7049
342,0.699
343,0.6998
344,0.6992
345,0.7022
346,0.7096
347,0.7106
348,0.701
349,0.7091
350,0.704
351,0.7075
352,0.7139
353,0.7068
354,0.7014
355,0.7171
356,0.7094
357,0.7169
358,0.71
359,0.7089
360,0.7106
361,0.7074
362,0.7105
363,0.7074
364,0.7048
365,0.7099
366,0.7057
367,0.7041
368,0.7072
369,0.7053
370,0.7079
371,0.7059
372,0.7103
373,0.7058
374,0.7093
375,0.7153
376,0.7113
377,0.712
378,0.7045
379,0.7092
380,0.7054
381,0.7077
382,0.7089
383,0.7142
384,0.7176
385,0.717
386,0.708
387,0.7116
388,0.714
389,0.7184
390,0.718
391,0.7181
392,0.7169
393,0.7188
394,0.7188
395,0.7039
396,0.718
397,0.715
398,0.7188
399,0.7168
400,0.7277
401,0.7328
402,0.7417
403,0.7452
404,0.7449
405,0.7399
406,0.7396
407,0.7357
408,0.7332
409,0.725
410,0.718
411,0.7279
412,0.7275
413,0.7354
414,0.7266
415,0.7349
416,0.7336
417,0.7353
418,0.7331
419,0.7296
420,0.7312
421,0.7371
422,0.7323
423,0.7366
424,0.7285
425,0.7313
426,0.7369
427,0.7369
428,0.7386
429,0.7289
430,0.7333
431,0.7355
432,0.7303
433,0.729
434,0.7338
435,0.731
436,0.735
437,0.7315
438,0.7299
439,0.7315
440,0.7277
441,0.7296
442,0.7369
443,0.7381
444,0.7367
445,0.7331
446,0.7293
447,0.7252
448,0.7277
449,0.7241
450,0.7334
451,0.735
452,0.7338
453,0.7379
454,0.7354
455,0.7259
456,0.7328
457,0.7344
458,0.7342
459,0.7306
460,0.7369
461,0.7335
462,0.7298
463,0.734
464,0.7361
465,0.7387
466,0.736
467,0.7344
468,0.7307
469,0.7323
470,0.7405
471,0.7353
472,0.7306
473,0.7367
474,0.7348
475,0.7319
476,0.7355
477,0.7461
478,0.7416
479,0.7384
480,0.7374
481,0.7413
482,0.7437
483,0.7373
484,0.7388
485,0.7375
486,0.733
487,0.7406
488,0.7423
489,0.733
490,0.7414
491,0.7327
492,0.7392
493,0.7383
494,0.7391
495,0.7295
496,0.7375
497,0.739
498,0.7397
499,0.7366
500,0.7402
501,0.7432
502,0.753
503,0.7504
504,0.7484
505,0.7504
506,0.754
507,0.7486
508,0.7425
509,0.7394
510,0.7393
511,0.7462
512,0.7433
513,0.7466
514,0.7498
515,0.7437
516,0.7543
517,0.7535
518,0.7504
519,0.7546
520,0.7459
521,0.7488
522,0.7492
523,0.7478
524,0.7494
525,0.7546
526,0.7601
527,0.7552
528,0.7488
529,0.7454
530,0.7467
531,0.7535
532,0.7536
533,0.7536
534,0.7549
535,0.7419
536,0.7514
537,0.7558
538,0.7496
539,0.7493
540,0.7539
541,0.7547
542,0.7514
543,0.7521
544,0.7494
545,0.7481
546,0.7508
547,0.7519
548,0.758
549,0.7602
550,0.75
551,0.7525
552,0.7503
553,0.7562
554,0.7547
555,0.7505
556,0.757
557,0.76
558,0.7603
559,0.7586
560,0.7615
561,0.7542
562,0.7578
563,0.7515
564,0.7497
565,0.7619
566,0.7593
567,0.7622
568,0.7589
569,0.7588
570,0.7553
571,0.7512
572,0.7567
573,0.7582
574,0.7578
575,0.7596
576,0.7547
577,0.7542
578,0.7572
579,0.7597
580,0.7614
581,0.7578
582,0.7616
583,0.7547
584,0.7543
585,0.7562
586,0.7658
587,0.7608
588,0.764
589,0.7558
590,0.7559
591,0.7585
592,0.7585
593,0.7641
594,0.7586
595,0.7512
596,0.7601
597,0.7647
598,0.7623
599,0.7602
600,0.7639
601,0.766
602,0.7728
603,0.7733
604,0.7744
605,0.7763
606,0.7724
607,0.77
608,0.771
609,0.7653
610,0.7664
611,0.762
612,0.7677
613,0.7643
614,0.7642
615,0.7676
616,0.7678
617,0.7623
618,0.7639
619,0.7711
620,0.7664
621,0.768
622,0.7706
623,0.7711
624,0.7663
625,0.7749
626,0.7739
627,0.7779
628,0.7657
629,0.7657
630,0.7701
631,0.7732
632,0.7722
633,0.7749
634,0.776
635,0.7736
636,0.7734
637,0.777
638,0.7767
639,0.7723
640,0.7652
641,0.7678
642,0.7633
643,0.7714
644,0.7671
645,0.7657
646,0.7704
647,0.7748
648,0.7754
649,0.7787
650,0.7721
651,0.7741
652,0.7705
653,0.77
654,0.7693
655,0.7764
656,0.7727
657,0.7756
658,0.7759
659,0.7744
660,0.772
661,0.7706
662,0.7726
663,0.7761
664,0.7741
665,0.776
666,0.7759
667,0.78
668,0.7747
669,0.7614
670,0.7665
671,0.7711
672,0.7716
673,0.7774
674,0.7768
675,0.7727
676,0.7687
677,0.7743
678,0.7652
679,0.7713
680,0.7704
681,0.77
682,0.7619
683,0.7663
684,0.7712
685,0.7747
686,0.7739
687,0.772
