,accuracy
0,0.1051
1,0.3062
2,0.2786
3,0.2177
4,0.3584
5,0.3251
6,0.311
7,0.3407
8,0.3692
9,0.2242
10,0.3946
11,0.3383
12,0.4764
13,0.4926
14,0.5375
15,0.4495
16,0.4868
17,0.491
18,0.5322
19,0.4455
20,0.4377
21,0.5312
22,0.5772
23,0.4635
24,0.4753
25,0.5071
26,0.5359
27,0.5165
28,0.5254
29,0.5377
30,0.5286
31,0.4408
32,0.5434
33,0.4981
34,0.5218
35,0.5076
36,0.5694
37,0.5365
38,0.562
39,0.5445
40,0.5384
41,0.5472
42,0.5715
43,0.5469
44,0.5308
45,0.5552
46,0.5624
47,0.5103
48,0.5732
49,0.561
50,0.5798
51,0.5218
52,0.5642
53,0.5816
54,0.5278
55,0.5556
56,0.5606
57,0.5481
58,0.5125
59,0.5593
60,0.5552
61,0.5619
62,0.5332
63,0.5728
64,0.5581
65,0.5761
66,0.5884
67,0.5786
68,0.5694
69,0.5619
70,0.5572
71,0.5704
72,0.5787
73,0.5459
74,0.565
75,0.5803
76,0.5507
77,0.5589
78,0.5812
79,0.5961
80,0.5634
81,0.5692
82,0.5783
83,0.5478
84,0.5871
85,0.5837
86,0.5938
87,0.5819
88,0.5947
89,0.5836
90,0.6105
91,0.5824
92,0.5422
93,0.5763
94,0.5819
95,0.5516
96,0.5776
97,0.5848
98,0.5886
99,0.5763
100,0.6096
101,0.6136
102,0.631
103,0.6518
104,0.6419
105,0.6581
106,0.6613
107,0.6575
108,0.6707
109,0.6397
110,0.646
111,0.6513
112,0.6342
113,0.6497
114,0.6446
115,0.6363
116,0.6455
117,0.6588
118,0.6409
119,0.6656
120,0.636
121,0.6356
122,0.6284
123,0.5995
124,0.6085
125,0.6498
126,0.6463
127,0.6444
128,0.6382
129,0.6577
130,0.6289
131,0.6504
132,0.6385
133,0.6206
134,0.6454
135,0.6726
136,0.6426
137,0.6244
138,0.6509
139,0.6432
140,0.6461
141,0.6605
142,0.65
143,0.6358
144,0.6477
145,0.6378
146,0.6418
147,0.6194
148,0.6405
149,0.654
150,0.6354
151,0.6395
152,0.659
153,0.6267
154,0.6325
155,0.6448
156,0.6365
157,0.6374
158,0.6332
159,0.6688
160,0.6193
161,0.6474
162,0.6531
163,0.6458
164,0.6537
165,0.6033
166,0.6397
167,0.6268
168,0.6397
169,0.632
170,0.6652
171,0.6491
172,0.6308
173,0.6224
174,0.6655
175,0.654
176,0.6497
177,0.6595
178,0.6451
179,0.6421
180,0.6379
181,0.6259
182,0.6448
183,0.6699
184,0.6559
185,0.6344
186,0.6638
187,0.647
188,0.6574
189,0.6589
190,0.6577
191,0.6438
192,0.6377
193,0.662
194,0.6477
195,0.6472
196,0.6594
197,0.6516
198,0.6639
199,0.668
200,0.675
201,0.6654
202,0.6604
203,0.6649
204,0.6677
205,0.7023
206,0.6768
207,0.6934
208,0.7009
209,0.685
210,0.6817
211,0.6901
212,0.6876
213,0.678
214,0.6799
215,0.6961
216,0.6897
217,0.6841
218,0.6906
219,0.6983
220,0.7005
221,0.6904
222,0.6916
223,0.6798
224,0.6967
225,0.6836
226,0.6743
227,0.6827
228,0.6921
229,0.6967
230,0.6995
231,0.6921
232,0.6752
233,0.6814
234,0.684
235,0.6944
236,0.7035
237,0.6846
238,0.6942
239,0.7
240,0.6862
241,0.6885
242,0.6841
243,0.6828
244,0.6767
245,0.6949
246,0.676
247,0.6959
248,0.6946
249,0.6889
250,0.6819
251,0.6898
252,0.692
253,0.6749
254,0.6832
255,0.6912
256,0.6738
257,0.6861
258,0.6923
259,0.6926
260,0.6853
261,0.6715
262,0.7007
263,0.6856
264,0.6878
265,0.6873
266,0.6874
267,0.6826
268,0.6897
269,0.6958
270,0.6893
271,0.6908
272,0.6922
273,0.6972
274,0.6888
275,0.6952
276,0.6931
277,0.6961
278,0.6894
279,0.701
280,0.6841
281,0.6963
282,0.6712
283,0.6865
284,0.6855
285,0.6932
286,0.6882
287,0.6975
288,0.6976
289,0.6943
290,0.6914
291,0.6846
292,0.6755
293,0.6942
294,0.6894
295,0.6791
296,0.701
297,0.699
298,0.6947
299,0.696
300,0.7013
301,0.6761
302,0.6592
303,0.6768
304,0.6946
305,0.6783
306,0.7033
307,0.7064
308,0.7054
309,0.704
310,0.7107
311,0.704
312,0.7056
313,0.7113
314,0.6993
315,0.7144
316,0.6931
317,0.7122
318,0.7103
319,0.7161
320,0.705
321,0.7053
322,0.7061
323,0.6981
324,0.7089
325,0.6996
326,0.7103
