,accuracy
0,0.1065
1,0.2666
2,0.3601
3,0.4067
4,0.3917
5,0.3738
6,0.3901
7,0.2788
8,0.3145
9,0.4068
10,0.3688
11,0.2629
12,0.3499
13,0.4193
14,0.4439
15,0.4584
16,0.3832
17,0.4394
18,0.4615
19,0.4616
20,0.4649
21,0.4493
22,0.4439
23,0.4487
24,0.3755
25,0.4609
26,0.4433
27,0.4502
28,0.4382
29,0.4427
30,0.4369
31,0.5037
32,0.4668
33,0.4817
34,0.4768
35,0.4712
36,0.4683
37,0.4979
38,0.4842
39,0.4732
40,0.4763
41,0.4972
42,0.4928
43,0.49
44,0.4383
45,0.5105
46,0.4586
47,0.4689
48,0.5009
49,0.4737
50,0.5154
51,0.4758
52,0.4943
53,0.487
54,0.4642
55,0.5087
56,0.4915
57,0.4405
58,0.5135
59,0.5018
60,0.5049
61,0.5266
62,0.5121
63,0.5174
64,0.5061
65,0.5187
66,0.5254
67,0.5174
68,0.5319
69,0.5004
70,0.5098
71,0.4875
72,0.5033
73,0.5058
74,0.5184
75,0.4996
76,0.5176
77,0.5295
78,0.5157
79,0.5116
80,0.4963
81,0.5163
82,0.5131
83,0.5203
84,0.5001
85,0.5201
86,0.5107
87,0.5247
88,0.5119
89,0.5067
90,0.4699
91,0.4928
92,0.5185
93,0.5229
94,0.5119
95,0.5315
96,0.5069
97,0.5078
98,0.5401
99,0.5249
100,0.5745
101,0.5993
102,0.6191
103,0.6116
104,0.5957
105,0.6003
106,0.5807
107,0.5851
108,0.6098
109,0.5853
110,0.596
111,0.5852
112,0.5922
113,0.5973
114,0.5853
115,0.5991
116,0.5959
117,0.5771
118,0.5947
119,0.6012
120,0.5895
121,0.5875
122,0.5961
123,0.592
124,0.5963
125,0.6098
126,0.5981
127,0.6015
128,0.617
129,0.6043
130,0.612
131,0.6114
132,0.5835
133,0.5984
134,0.6099
135,0.6005
136,0.6203
137,0.6195
138,0.6151
139,0.6118
140,0.6193
141,0.61
142,0.6214
143,0.6149
144,0.6037
145,0.6111
146,0.6145
147,0.6283
148,0.6231
149,0.6124
150,0.6022
151,0.6
152,0.6249
153,0.6212
154,0.6264
155,0.6133
156,0.6103
157,0.6142
158,0.5789
159,0.6221
160,0.6077
161,0.6168
162,0.6074
163,0.6068
164,0.6068
165,0.6193
166,0.6284
167,0.5985
168,0.6204
169,0.6122
170,0.6151
171,0.6318
172,0.6071
173,0.607
174,0.6175
175,0.627
176,0.6171
177,0.6057
178,0.6174
179,0.6071
180,0.5968
181,0.6082
