wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 8wbz3ru8
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260630_234715-8wbz3ru8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_gmp_accel_sparsity_0.0_final_sparsity_0.3_delta_t_1
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/onhmhsi1
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/8wbz3ru8
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: gmp
sparsity: 0.3
num_mask_updates: 100000
t_end_ratio: 0.8
pruning_ratio: 0.3
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] gmp | sparsity=0.3 | total_steps=108000 | t_end=86400 | delta_t=1

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:03<?, ?it/s, acc=0.249, lr=0.0001, test_acc=0.109]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:03<05:32,  3.36s/it, acc=0.249, lr=0.0001, test_acc=0.109]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:03<05:32,  3.36s/it, acc=0.249, lr=0.0001, test_acc=0.109]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<05:32,  3.36s/it, acc=0.431, lr=0.0002, test_acc=0.361]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:26,  2.72s/it, acc=0.431, lr=0.0002, test_acc=0.361]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:26,  2.72s/it, acc=0.431, lr=0.0002, test_acc=0.361]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:26,  2.72s/it, acc=0.543, lr=0.0003, test_acc=0.361]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<04:03,  2.51s/it, acc=0.543, lr=0.0003, test_acc=0.361]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<04:03,  2.51s/it, acc=0.543, lr=0.0003, test_acc=0.361]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:10<04:03,  2.51s/it, acc=0.661, lr=0.0004, test_acc=0.387]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:10<03:52,  2.42s/it, acc=0.661, lr=0.0004, test_acc=0.387]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:10<03:52,  2.42s/it, acc=0.661, lr=0.0004, test_acc=0.387]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:12<03:52,  2.42s/it, acc=0.763, lr=0.0005, test_acc=0.355]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:12<03:45,  2.37s/it, acc=0.763, lr=0.0005, test_acc=0.355]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:12<03:45,  2.37s/it, acc=0.763, lr=0.0005, test_acc=0.355]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:45,  2.37s/it, acc=0.799, lr=0.0006, test_acc=0.386]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:39,  2.34s/it, acc=0.799, lr=0.0006, test_acc=0.386]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:39,  2.34s/it, acc=0.799, lr=0.0006, test_acc=0.386]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:17<03:39,  2.34s/it, acc=0.813, lr=0.0007, test_acc=0.413]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:17<03:35,  2.32s/it, acc=0.813, lr=0.0007, test_acc=0.413]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:17<03:35,  2.32s/it, acc=0.813, lr=0.0007, test_acc=0.413]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:19<03:35,  2.32s/it, acc=0.834, lr=0.0008, test_acc=0.348]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:19<03:31,  2.30s/it, acc=0.834, lr=0.0008, test_acc=0.348]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:19<03:31,  2.30s/it, acc=0.834, lr=0.0008, test_acc=0.348]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:21<03:31,  2.30s/it, acc=0.821, lr=0.0009, test_acc=0.398]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:21<03:28,  2.29s/it, acc=0.821, lr=0.0009, test_acc=0.398]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:21<03:28,  2.29s/it, acc=0.821, lr=0.0009, test_acc=0.398]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:28,  2.29s/it, acc=0.824, lr=0.001, test_acc=0.398] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:23<03:25,  2.29s/it, acc=0.824, lr=0.001, test_acc=0.398]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:23<03:25,  2.29s/it, acc=0.824, lr=0.001, test_acc=0.398]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:26<03:25,  2.29s/it, acc=0.846, lr=0.001, test_acc=0.296]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:26<03:23,  2.29s/it, acc=0.846, lr=0.001, test_acc=0.296]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:26<03:23,  2.29s/it, acc=0.846, lr=0.001, test_acc=0.296]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:28<03:23,  2.29s/it, acc=0.885, lr=0.001, test_acc=0.346]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:28<03:20,  2.28s/it, acc=0.885, lr=0.001, test_acc=0.346]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:28<03:20,  2.28s/it, acc=0.885, lr=0.001, test_acc=0.346]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:30<03:20,  2.28s/it, acc=0.897, lr=0.001, test_acc=0.456]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:30<03:18,  2.28s/it, acc=0.897, lr=0.001, test_acc=0.456]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:30<03:18,  2.28s/it, acc=0.897, lr=0.001, test_acc=0.456]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:32<03:18,  2.28s/it, acc=0.911, lr=0.001, test_acc=0.392]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:32<03:15,  2.28s/it, acc=0.911, lr=0.001, test_acc=0.392]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:32<03:15,  2.28s/it, acc=0.911, lr=0.001, test_acc=0.392]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:35<03:15,  2.28s/it, acc=0.928, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:35<03:13,  2.27s/it, acc=0.928, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:35<03:13,  2.27s/it, acc=0.928, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:37<03:13,  2.27s/it, acc=0.923, lr=0.001, test_acc=0.448]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:37<03:10,  2.27s/it, acc=0.923, lr=0.001, test_acc=0.448]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:37<03:10,  2.27s/it, acc=0.923, lr=0.001, test_acc=0.448]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:39<03:10,  2.27s/it, acc=0.944, lr=0.001, test_acc=0.435]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:39<03:08,  2.27s/it, acc=0.944, lr=0.001, test_acc=0.435]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:39<03:08,  2.27s/it, acc=0.944, lr=0.001, test_acc=0.435]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:42<03:08,  2.27s/it, acc=0.948, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:42<03:06,  2.27s/it, acc=0.948, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:42<03:06,  2.27s/it, acc=0.948, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:44<03:06,  2.27s/it, acc=0.946, lr=0.001, test_acc=0.481]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:44<03:03,  2.27s/it, acc=0.946, lr=0.001, test_acc=0.481]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:44<03:03,  2.27s/it, acc=0.946, lr=0.001, test_acc=0.481]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:46<03:03,  2.27s/it, acc=0.955, lr=0.001, test_acc=0.402]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:46<03:01,  2.27s/it, acc=0.955, lr=0.001, test_acc=0.402]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:46<03:01,  2.27s/it, acc=0.955, lr=0.001, test_acc=0.402]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:48<03:01,  2.27s/it, acc=0.954, lr=0.001, test_acc=0.453]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:48<02:59,  2.27s/it, acc=0.954, lr=0.001, test_acc=0.453]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:48<02:59,  2.27s/it, acc=0.954, lr=0.001, test_acc=0.453]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:51<02:59,  2.27s/it, acc=0.961, lr=0.001, test_acc=0.482]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:51<02:56,  2.27s/it, acc=0.961, lr=0.001, test_acc=0.482]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:51<02:56,  2.27s/it, acc=0.961, lr=0.001, test_acc=0.482]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:53<02:56,  2.27s/it, acc=0.962, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:53<02:54,  2.27s/it, acc=0.962, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:53<02:54,  2.27s/it, acc=0.962, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:55<02:54,  2.27s/it, acc=0.967, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:55<02:52,  2.27s/it, acc=0.967, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:55<02:52,  2.27s/it, acc=0.967, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:57<02:52,  2.27s/it, acc=0.965, lr=0.001, test_acc=0.498]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:57<02:50,  2.27s/it, acc=0.965, lr=0.001, test_acc=0.498]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:57<02:50,  2.27s/it, acc=0.965, lr=0.001, test_acc=0.498]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:00<02:50,  2.27s/it, acc=0.97, lr=0.001, test_acc=0.473] 
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [01:00<02:47,  2.27s/it, acc=0.97, lr=0.001, test_acc=0.473]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:00<02:47,  2.27s/it, acc=0.97, lr=0.001, test_acc=0.473]
