wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run d78azd5e
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260630_215311-d78azd5e
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_gmp_accel_sparsity_0.0_final_sparsity_0.7_delta_t_6
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/onhmhsi1
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/d78azd5e
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: gmp
sparsity: 0.7
num_mask_updates: 10000
t_end_ratio: 0.8
pruning_ratio: 0.3
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] gmp | sparsity=0.7 | total_steps=108000 | t_end=86400 | delta_t=6

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:03<?, ?it/s, acc=0.249, lr=0.0001, test_acc=0.113]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:03<06:14,  3.78s/it, acc=0.249, lr=0.0001, test_acc=0.113]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:03<06:14,  3.78s/it, acc=0.249, lr=0.0001, test_acc=0.113]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:06<06:14,  3.78s/it, acc=0.426, lr=0.0002, test_acc=0.353]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:06<04:44,  2.90s/it, acc=0.426, lr=0.0002, test_acc=0.353]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:06<04:44,  2.90s/it, acc=0.426, lr=0.0002, test_acc=0.353]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:08<04:44,  2.90s/it, acc=0.533, lr=0.0003, test_acc=0.341]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:08<04:14,  2.62s/it, acc=0.533, lr=0.0003, test_acc=0.341]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:08<04:14,  2.62s/it, acc=0.533, lr=0.0003, test_acc=0.341]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:10<04:14,  2.62s/it, acc=0.665, lr=0.0004, test_acc=0.338]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:10<03:59,  2.49s/it, acc=0.665, lr=0.0004, test_acc=0.338]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:10<03:59,  2.49s/it, acc=0.665, lr=0.0004, test_acc=0.338]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:12<03:59,  2.49s/it, acc=0.763, lr=0.0005, test_acc=0.418]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:12<03:49,  2.42s/it, acc=0.763, lr=0.0005, test_acc=0.418]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:12<03:49,  2.42s/it, acc=0.763, lr=0.0005, test_acc=0.418]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:15<03:49,  2.42s/it, acc=0.798, lr=0.0006, test_acc=0.353]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:15<03:43,  2.37s/it, acc=0.798, lr=0.0006, test_acc=0.353]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:15<03:43,  2.37s/it, acc=0.798, lr=0.0006, test_acc=0.353]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:17<03:43,  2.37s/it, acc=0.795, lr=0.0007, test_acc=0.396]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:17<03:38,  2.35s/it, acc=0.795, lr=0.0007, test_acc=0.396]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:17<03:38,  2.35s/it, acc=0.795, lr=0.0007, test_acc=0.396]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:19<03:38,  2.35s/it, acc=0.81, lr=0.0008, test_acc=0.382] 
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:19<03:33,  2.32s/it, acc=0.81, lr=0.0008, test_acc=0.382]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:19<03:33,  2.32s/it, acc=0.81, lr=0.0008, test_acc=0.382]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:22<03:33,  2.32s/it, acc=0.832, lr=0.0009, test_acc=0.323]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:22<03:30,  2.31s/it, acc=0.832, lr=0.0009, test_acc=0.323]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:22<03:30,  2.31s/it, acc=0.832, lr=0.0009, test_acc=0.323]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:24<03:30,  2.31s/it, acc=0.837, lr=0.001, test_acc=0.372] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:24<03:27,  2.30s/it, acc=0.837, lr=0.001, test_acc=0.372]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:24<03:27,  2.30s/it, acc=0.837, lr=0.001, test_acc=0.372]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:26<03:27,  2.30s/it, acc=0.845, lr=0.001, test_acc=0.264]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:26<03:24,  2.30s/it, acc=0.845, lr=0.001, test_acc=0.264]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:26<03:24,  2.30s/it, acc=0.845, lr=0.001, test_acc=0.264]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:28<03:24,  2.30s/it, acc=0.88, lr=0.001, test_acc=0.451] 
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:28<03:21,  2.29s/it, acc=0.88, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:28<03:21,  2.29s/it, acc=0.88, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:31<03:21,  2.29s/it, acc=0.918, lr=0.001, test_acc=0.382]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:31<03:19,  2.29s/it, acc=0.918, lr=0.001, test_acc=0.382]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:31<03:19,  2.29s/it, acc=0.918, lr=0.001, test_acc=0.382]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:33<03:19,  2.29s/it, acc=0.913, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:33<03:16,  2.29s/it, acc=0.913, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:33<03:16,  2.29s/it, acc=0.913, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:35<03:16,  2.29s/it, acc=0.921, lr=0.001, test_acc=0.374]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:35<03:14,  2.28s/it, acc=0.921, lr=0.001, test_acc=0.374]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:35<03:14,  2.28s/it, acc=0.921, lr=0.001, test_acc=0.374]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:38<03:14,  2.28s/it, acc=0.925, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:38<03:11,  2.28s/it, acc=0.925, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:38<03:11,  2.28s/it, acc=0.925, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:40<03:11,  2.28s/it, acc=0.936, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:40<03:09,  2.28s/it, acc=0.936, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:40<03:09,  2.28s/it, acc=0.936, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:42<03:09,  2.28s/it, acc=0.951, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:42<03:07,  2.28s/it, acc=0.951, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:42<03:07,  2.28s/it, acc=0.951, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:44<03:07,  2.28s/it, acc=0.949, lr=0.001, test_acc=0.432]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:44<03:04,  2.28s/it, acc=0.949, lr=0.001, test_acc=0.432]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:44<03:04,  2.28s/it, acc=0.949, lr=0.001, test_acc=0.432]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:47<03:04,  2.28s/it, acc=0.956, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:47<03:02,  2.28s/it, acc=0.956, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:47<03:02,  2.28s/it, acc=0.956, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:49<03:02,  2.28s/it, acc=0.95, lr=0.001, test_acc=0.48]  
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:49<03:00,  2.28s/it, acc=0.95, lr=0.001, test_acc=0.48]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:49<03:00,  2.28s/it, acc=0.95, lr=0.001, test_acc=0.48]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:51<03:00,  2.28s/it, acc=0.961, lr=0.001, test_acc=0.364]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:51<02:57,  2.28s/it, acc=0.961, lr=0.001, test_acc=0.364]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:51<02:57,  2.28s/it, acc=0.961, lr=0.001, test_acc=0.364]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:54<02:57,  2.28s/it, acc=0.971, lr=0.001, test_acc=0.472]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:54<02:55,  2.28s/it, acc=0.971, lr=0.001, test_acc=0.472]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:54<02:55,  2.28s/it, acc=0.971, lr=0.001, test_acc=0.472]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:56<02:55,  2.28s/it, acc=0.969, lr=0.001, test_acc=0.478]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:56<02:53,  2.28s/it, acc=0.969, lr=0.001, test_acc=0.478]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:56<02:53,  2.28s/it, acc=0.969, lr=0.001, test_acc=0.478]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:58<02:53,  2.28s/it, acc=0.972, lr=0.001, test_acc=0.513]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:58<02:51,  2.28s/it, acc=0.972, lr=0.001, test_acc=0.513]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:58<02:51,  2.28s/it, acc=0.972, lr=0.001, test_acc=0.513]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:00<02:51,  2.28s/it, acc=0.971, lr=0.001, test_acc=0.51] 
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [01:00<02:48,  2.28s/it, acc=0.971, lr=0.001, test_acc=0.51]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:00<02:48,  2.28s/it, acc=0.971, lr=0.001, test_acc=0.51]
