wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run tu4dqmv2
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260618_175155-tu4dqmv2
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.1_pruning_ratio_0.1_delta_t_8640
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/tu4dqmv2
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.1
num_mask_updates: 10
t_end_ratio: 0.8
pruning_ratio: 0.1
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.1 | total_steps=108000 | t_end=86400 | delta_t=8640

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.263, lr=0.0001, test_acc=0.106]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:50,  2.94s/it, acc=0.263, lr=0.0001, test_acc=0.106]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:50,  2.94s/it, acc=0.263, lr=0.0001, test_acc=0.106]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<04:50,  2.94s/it, acc=0.413, lr=0.0002, test_acc=0.325]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:09,  2.54s/it, acc=0.413, lr=0.0002, test_acc=0.325]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:09,  2.54s/it, acc=0.413, lr=0.0002, test_acc=0.325]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:09,  2.54s/it, acc=0.514, lr=0.0003, test_acc=0.424]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:54,  2.42s/it, acc=0.514, lr=0.0003, test_acc=0.424]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:54,  2.42s/it, acc=0.514, lr=0.0003, test_acc=0.424]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:54,  2.42s/it, acc=0.649, lr=0.0004, test_acc=0.345]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:46,  2.36s/it, acc=0.649, lr=0.0004, test_acc=0.345]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:46,  2.36s/it, acc=0.649, lr=0.0004, test_acc=0.345]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:12<03:46,  2.36s/it, acc=0.748, lr=0.0005, test_acc=0.331]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:12<03:41,  2.33s/it, acc=0.748, lr=0.0005, test_acc=0.331]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:12<03:41,  2.33s/it, acc=0.748, lr=0.0005, test_acc=0.331]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:41,  2.33s/it, acc=0.785, lr=0.0006, test_acc=0.364]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:36,  2.31s/it, acc=0.785, lr=0.0006, test_acc=0.364]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:36,  2.31s/it, acc=0.785, lr=0.0006, test_acc=0.364]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:36,  2.31s/it, acc=0.805, lr=0.0007, test_acc=0.417]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:33,  2.29s/it, acc=0.805, lr=0.0007, test_acc=0.417]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:33,  2.29s/it, acc=0.805, lr=0.0007, test_acc=0.417]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:33,  2.29s/it, acc=0.828, lr=0.0008, test_acc=0.373]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:18<03:30,  2.29s/it, acc=0.828, lr=0.0008, test_acc=0.373]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:18<03:30,  2.29s/it, acc=0.828, lr=0.0008, test_acc=0.373]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:21<03:30,  2.29s/it, acc=0.826, lr=0.0009, test_acc=0.403]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:21<03:27,  2.28s/it, acc=0.826, lr=0.0009, test_acc=0.403]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:21<03:27,  2.28s/it, acc=0.826, lr=0.0009, test_acc=0.403]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:27,  2.28s/it, acc=0.837, lr=0.001, test_acc=0.352] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:23<03:24,  2.28s/it, acc=0.837, lr=0.001, test_acc=0.352]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:23<03:24,  2.28s/it, acc=0.837, lr=0.001, test_acc=0.352]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:24,  2.28s/it, acc=0.861, lr=0.001, test_acc=0.413]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:22,  2.27s/it, acc=0.861, lr=0.001, test_acc=0.413]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:22,  2.27s/it, acc=0.861, lr=0.001, test_acc=0.413]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:22,  2.27s/it, acc=0.878, lr=0.001, test_acc=0.392]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:27<03:19,  2.27s/it, acc=0.878, lr=0.001, test_acc=0.392]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:27<03:19,  2.27s/it, acc=0.878, lr=0.001, test_acc=0.392]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:30<03:19,  2.27s/it, acc=0.91, lr=0.001, test_acc=0.424] 
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:30<03:17,  2.27s/it, acc=0.91, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:30<03:17,  2.27s/it, acc=0.91, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:32<03:17,  2.27s/it, acc=0.914, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:32<03:15,  2.27s/it, acc=0.914, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:32<03:15,  2.27s/it, acc=0.914, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:34<03:15,  2.27s/it, acc=0.921, lr=0.001, test_acc=0.468]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:34<03:12,  2.27s/it, acc=0.921, lr=0.001, test_acc=0.468]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:34<03:12,  2.27s/it, acc=0.921, lr=0.001, test_acc=0.468]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:36<03:12,  2.27s/it, acc=0.945, lr=0.001, test_acc=0.427]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:36<03:10,  2.27s/it, acc=0.945, lr=0.001, test_acc=0.427]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:36<03:10,  2.27s/it, acc=0.945, lr=0.001, test_acc=0.427]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:39<03:10,  2.27s/it, acc=0.948, lr=0.001, test_acc=0.441]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:39<03:08,  2.27s/it, acc=0.948, lr=0.001, test_acc=0.441]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:39<03:08,  2.27s/it, acc=0.948, lr=0.001, test_acc=0.441]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:41<03:08,  2.27s/it, acc=0.94, lr=0.001, test_acc=0.492] 
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:41<03:06,  2.27s/it, acc=0.94, lr=0.001, test_acc=0.492]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:41<03:06,  2.27s/it, acc=0.94, lr=0.001, test_acc=0.492]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:43<03:06,  2.27s/it, acc=0.947, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:43<03:03,  2.27s/it, acc=0.947, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:43<03:03,  2.27s/it, acc=0.947, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:46<03:03,  2.27s/it, acc=0.952, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:46<03:01,  2.27s/it, acc=0.952, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:46<03:01,  2.27s/it, acc=0.952, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:48<03:01,  2.27s/it, acc=0.959, lr=0.001, test_acc=0.506]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:48<02:59,  2.27s/it, acc=0.959, lr=0.001, test_acc=0.506]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:48<02:59,  2.27s/it, acc=0.959, lr=0.001, test_acc=0.506]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:50<02:59,  2.27s/it, acc=0.963, lr=0.001, test_acc=0.468]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:50<02:57,  2.27s/it, acc=0.963, lr=0.001, test_acc=0.468]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:50<02:57,  2.27s/it, acc=0.963, lr=0.001, test_acc=0.468]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:52<02:57,  2.27s/it, acc=0.963, lr=0.001, test_acc=0.476]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:52<02:54,  2.27s/it, acc=0.963, lr=0.001, test_acc=0.476]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:52<02:54,  2.27s/it, acc=0.963, lr=0.001, test_acc=0.476]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:55<02:54,  2.27s/it, acc=0.962, lr=0.001, test_acc=0.49] 
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:55<02:52,  2.27s/it, acc=0.962, lr=0.001, test_acc=0.49]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:55<02:52,  2.27s/it, acc=0.962, lr=0.001, test_acc=0.49]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:57<02:52,  2.27s/it, acc=0.971, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:57<02:50,  2.27s/it, acc=0.971, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:57<02:50,  2.27s/it, acc=0.971, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:59<02:50,  2.27s/it, acc=0.972, lr=0.001, test_acc=0.466]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [00:59<02:47,  2.27s/it, acc=0.972, lr=0.001, test_acc=0.466]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [00:59<02:47,  2.27s/it, acc=0.972, lr=0.001, test_acc=0.466]
