wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 7b8dr5op
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260624_084545-7b8dr5op
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.1_pruning_ratio_0.7_delta_t_1
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/7b8dr5op
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.1
num_mask_updates: 100000
t_end_ratio: 0.8
pruning_ratio: 0.7
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.1 | total_steps=108000 | t_end=86400 | delta_t=1

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:03<?, ?it/s, acc=0.269, lr=0.0001, test_acc=0.106]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:03<05:56,  3.60s/it, acc=0.269, lr=0.0001, test_acc=0.106]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:03<05:56,  3.60s/it, acc=0.269, lr=0.0001, test_acc=0.106]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:06<05:56,  3.60s/it, acc=0.421, lr=0.0002, test_acc=0.321]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:06<05:31,  3.38s/it, acc=0.421, lr=0.0002, test_acc=0.321]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:06<05:31,  3.38s/it, acc=0.421, lr=0.0002, test_acc=0.321]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:10<05:31,  3.38s/it, acc=0.537, lr=0.0003, test_acc=0.422]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:10<05:20,  3.30s/it, acc=0.537, lr=0.0003, test_acc=0.422]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:10<05:20,  3.30s/it, acc=0.537, lr=0.0003, test_acc=0.422]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:13<05:20,  3.30s/it, acc=0.68, lr=0.0004, test_acc=0.41]  
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:13<05:13,  3.27s/it, acc=0.68, lr=0.0004, test_acc=0.41]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:13<05:13,  3.27s/it, acc=0.68, lr=0.0004, test_acc=0.41]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:16<05:13,  3.27s/it, acc=0.772, lr=0.0005, test_acc=0.382]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:16<05:08,  3.25s/it, acc=0.772, lr=0.0005, test_acc=0.382]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:16<05:08,  3.25s/it, acc=0.772, lr=0.0005, test_acc=0.382]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:19<05:08,  3.25s/it, acc=0.797, lr=0.0006, test_acc=0.311]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:19<05:05,  3.25s/it, acc=0.797, lr=0.0006, test_acc=0.311]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:19<05:05,  3.25s/it, acc=0.797, lr=0.0006, test_acc=0.311]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:22<05:05,  3.25s/it, acc=0.812, lr=0.0007, test_acc=0.403]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:22<05:01,  3.24s/it, acc=0.812, lr=0.0007, test_acc=0.403]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:22<05:01,  3.24s/it, acc=0.812, lr=0.0007, test_acc=0.403]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:26<05:01,  3.24s/it, acc=0.818, lr=0.0008, test_acc=0.315]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:26<04:57,  3.24s/it, acc=0.818, lr=0.0008, test_acc=0.315]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:26<04:57,  3.24s/it, acc=0.818, lr=0.0008, test_acc=0.315]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:29<04:57,  3.24s/it, acc=0.826, lr=0.0009, test_acc=0.35] 
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:29<04:54,  3.24s/it, acc=0.826, lr=0.0009, test_acc=0.35]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:29<04:54,  3.24s/it, acc=0.826, lr=0.0009, test_acc=0.35]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:32<04:54,  3.24s/it, acc=0.842, lr=0.001, test_acc=0.332]
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:32<04:51,  3.24s/it, acc=0.842, lr=0.001, test_acc=0.332]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:32<04:51,  3.24s/it, acc=0.842, lr=0.001, test_acc=0.332]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:35<04:51,  3.24s/it, acc=0.861, lr=0.001, test_acc=0.411]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:35<04:48,  3.24s/it, acc=0.861, lr=0.001, test_acc=0.411]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:35<04:48,  3.24s/it, acc=0.861, lr=0.001, test_acc=0.411]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:39<04:48,  3.24s/it, acc=0.889, lr=0.001, test_acc=0.421]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:39<04:44,  3.23s/it, acc=0.889, lr=0.001, test_acc=0.421]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:39<04:44,  3.23s/it, acc=0.889, lr=0.001, test_acc=0.421]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:42<04:44,  3.23s/it, acc=0.904, lr=0.001, test_acc=0.487]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:42<04:40,  3.23s/it, acc=0.904, lr=0.001, test_acc=0.487]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:42<04:40,  3.23s/it, acc=0.904, lr=0.001, test_acc=0.487]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:45<04:40,  3.23s/it, acc=0.915, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:45<04:37,  3.23s/it, acc=0.915, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:45<04:37,  3.23s/it, acc=0.915, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:48<04:37,  3.23s/it, acc=0.915, lr=0.001, test_acc=0.443]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:48<04:34,  3.23s/it, acc=0.915, lr=0.001, test_acc=0.443]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:48<04:34,  3.23s/it, acc=0.915, lr=0.001, test_acc=0.443]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:51<04:34,  3.23s/it, acc=0.932, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:51<04:31,  3.23s/it, acc=0.932, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:51<04:31,  3.23s/it, acc=0.932, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:55<04:31,  3.23s/it, acc=0.942, lr=0.001, test_acc=0.466]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:55<04:28,  3.23s/it, acc=0.942, lr=0.001, test_acc=0.466]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:55<04:28,  3.23s/it, acc=0.942, lr=0.001, test_acc=0.466]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:58<04:28,  3.23s/it, acc=0.946, lr=0.001, test_acc=0.474]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:58<04:24,  3.23s/it, acc=0.946, lr=0.001, test_acc=0.474]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:58<04:24,  3.23s/it, acc=0.946, lr=0.001, test_acc=0.474]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [01:01<04:24,  3.23s/it, acc=0.952, lr=0.001, test_acc=0.473]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [01:01<04:21,  3.23s/it, acc=0.952, lr=0.001, test_acc=0.473]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [01:01<04:21,  3.23s/it, acc=0.952, lr=0.001, test_acc=0.473]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [01:04<04:21,  3.23s/it, acc=0.953, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 19:  20%|██        | 20/100 [01:04<04:18,  3.23s/it, acc=0.953, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 20:  20%|██        | 20/100 [01:04<04:18,  3.23s/it, acc=0.953, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 20:  20%|██        | 20/100 [01:08<04:18,  3.23s/it, acc=0.96, lr=0.001, test_acc=0.488] 
Iter 0 | Epoch 20:  21%|██        | 21/100 [01:08<04:15,  3.23s/it, acc=0.96, lr=0.001, test_acc=0.488]
Iter 0 | Epoch 21:  21%|██        | 21/100 [01:08<04:15,  3.23s/it, acc=0.96, lr=0.001, test_acc=0.488]
Iter 0 | Epoch 21:  21%|██        | 21/100 [01:11<04:15,  3.23s/it, acc=0.958, lr=0.001, test_acc=0.481]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [01:11<04:12,  3.24s/it, acc=0.958, lr=0.001, test_acc=0.481]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [01:11<04:12,  3.24s/it, acc=0.958, lr=0.001, test_acc=0.481]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [01:14<04:12,  3.24s/it, acc=0.966, lr=0.001, test_acc=0.474]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [01:14<04:09,  3.24s/it, acc=0.966, lr=0.001, test_acc=0.474]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [01:14<04:09,  3.24s/it, acc=0.966, lr=0.001, test_acc=0.474]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [01:17<04:09,  3.24s/it, acc=0.971, lr=0.001, test_acc=0.502]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [01:17<04:05,  3.23s/it, acc=0.971, lr=0.001, test_acc=0.502]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:17<04:05,  3.23s/it, acc=0.971, lr=0.001, test_acc=0.502]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:21<04:05,  3.23s/it, acc=0.965, lr=0.001, test_acc=0.514]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [01:21<04:02,  3.23s/it, acc=0.965, lr=0.001, test_acc=0.514]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:21<04:02,  3.23s/it, acc=0.965, lr=0.001, test_acc=0.514]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:24<04:02,  3.23s/it, acc=0.969, lr=0.001, test_acc=0.508]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [01:24<03:58,  3.23s/it, acc=0.969, lr=0.001, test_acc=0.508]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:24<03:58,  3.23s/it, acc=0.969, lr=0.001, test_acc=0.508]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:27<03:58,  3.23s/it, acc=0.97, lr=0.001, test_acc=0.522] 
Iter 0 | Epoch 26:  27%|██▋       | 27/100 [01:27<03:55,  3.23s/it, acc=0.97, lr=0.001, test_acc=0.522]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:27<03:55,  3.23s/it, acc=0.97, lr=0.001, test_acc=0.522]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:30<03:55,  3.23s/it, acc=0.972, lr=0.001, test_acc=0.475]
Iter 0 | Epoch 27:  28%|██▊       | 28/100 [01:30<03:52,  3.23s/it, acc=0.972, lr=0.001, test_acc=0.475]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:30<03:52,  3.23s/it, acc=0.972, lr=0.001, test_acc=0.475]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:34<03:52,  3.23s/it, acc=0.974, lr=0.001, test_acc=0.496]
Iter 0 | Epoch 28:  29%|██▉       | 29/100 [01:34<03:49,  3.23s/it, acc=0.974, lr=0.001, test_acc=0.496]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:34<03:49,  3.23s/it, acc=0.974, lr=0.001, test_acc=0.496]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:37<03:49,  3.23s/it, acc=0.972, lr=0.001, test_acc=0.416]
Iter 0 | Epoch 29:  30%|███       | 30/100 [01:37<03:45,  3.23s/it, acc=0.972, lr=0.001, test_acc=0.416]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:37<03:45,  3.23s/it, acc=0.972, lr=0.001, test_acc=0.416]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:40<03:45,  3.23s/it, acc=0.971, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 30:  31%|███       | 31/100 [01:40<03:42,  3.23s/it, acc=0.971, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:40<03:42,  3.23s/it, acc=0.971, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:43<03:42,  3.23s/it, acc=0.977, lr=0.001, test_acc=0.458]
Iter 0 | Epoch 31:  32%|███▏      | 32/100 [01:43<03:39,  3.22s/it, acc=0.977, lr=0.001, test_acc=0.458]
Iter 0 | Epoch 32:  32%|███▏      | 32/100 [01:43<03:39,  3.22s/it, acc=0.977, lr=0.001, test_acc=0.458]
Iter 0 | Epoch 32:  32%|███▏      | 32/100 [01:46<03:39,  3.22s/it, acc=0.976, lr=0.001, test_acc=0.496]
Iter 0 | Epoch 32:  33%|███▎      | 33/100 [01:46<03:36,  3.23s/it, acc=0.976, lr=0.001, test_acc=0.496]
Iter 0 | Epoch 33:  33%|███▎      | 33/100 [01:46<03:36,  3.23s/it, acc=0.976, lr=0.001, test_acc=0.496]
Iter 0 | Epoch 33:  33%|███▎      | 33/100 [01:50<03:36,  3.23s/it, acc=0.974, lr=0.001, test_acc=0.475]
Iter 0 | Epoch 33:  34%|███▍      | 34/100 [01:50<03:33,  3.23s/it, acc=0.974, lr=0.001, test_acc=0.475]
Iter 0 | Epoch 34:  34%|███▍      | 34/100 [01:50<03:33,  3.23s/it, acc=0.974, lr=0.001, test_acc=0.475]
Iter 0 | Epoch 34:  34%|███▍      | 34/100 [01:53<03:33,  3.23s/it, acc=0.981, lr=0.001, test_acc=0.504]
Iter 0 | Epoch 34:  35%|███▌      | 35/100 [01:53<03:30,  3.23s/it, acc=0.981, lr=0.001, test_acc=0.504]
Iter 0 | Epoch 35:  35%|███▌      | 35/100 [01:53<03:30,  3.23s/it, acc=0.981, lr=0.001, test_acc=0.504]
Iter 0 | Epoch 35:  35%|███▌      | 35/100 [01:56<03:30,  3.23s/it, acc=0.979, lr=0.001, test_acc=0.461]
Iter 0 | Epoch 35:  36%|███▌      | 36/100 [01:56<03:27,  3.23s/it, acc=0.979, lr=0.001, test_acc=0.461]
Iter 0 | Epoch 36:  36%|███▌      | 36/100 [01:56<03:27,  3.23s/it, acc=0.979, lr=0.001, test_acc=0.461]
Iter 0 | Epoch 36:  36%|███▌      | 36/100 [01:59<03:27,  3.23s/it, acc=0.978, lr=0.001, test_acc=0.503]
Iter 0 | Epoch 36:  37%|███▋      | 37/100 [01:59<03:23,  3.23s/it, acc=0.978, lr=0.001, test_acc=0.503]
Iter 0 | Epoch 37:  37%|███▋      | 37/100 [01:59<03:23,  3.23s/it, acc=0.978, lr=0.001, test_acc=0.503]
Iter 0 | Epoch 37:  37%|███▋      | 37/100 [02:03<03:23,  3.23s/it, acc=0.983, lr=0.001, test_acc=0.493]
Iter 0 | Epoch 37:  38%|███▊      | 38/100 [02:03<03:20,  3.23s/it, acc=0.983, lr=0.001, test_acc=0.493]
Iter 0 | Epoch 38:  38%|███▊      | 38/100 [02:03<03:20,  3.23s/it, acc=0.983, lr=0.001, test_acc=0.493]
Iter 0 | Epoch 38:  38%|███▊      | 38/100 [02:06<03:20,  3.23s/it, acc=0.985, lr=0.001, test_acc=0.524]
Iter 0 | Epoch 38:  39%|███▉      | 39/100 [02:06<03:16,  3.22s/it, acc=0.985, lr=0.001, test_acc=0.524]
Iter 0 | Epoch 39:  39%|███▉      | 39/100 [02:06<03:16,  3.22s/it, acc=0.985, lr=0.001, test_acc=0.524]
Iter 0 | Epoch 39:  39%|███▉      | 39/100 [02:09<03:16,  3.22s/it, acc=0.978, lr=0.001, test_acc=0.507]
Iter 0 | Epoch 39:  40%|████      | 40/100 [02:09<03:14,  3.24s/it, acc=0.978, lr=0.001, test_acc=0.507]
Iter 0 | Epoch 40:  40%|████      | 40/100 [02:09<03:14,  3.24s/it, acc=0.978, lr=0.001, test_acc=0.507]
Iter 0 | Epoch 40:  40%|████      | 40/100 [02:12<03:14,  3.24s/it, acc=0.985, lr=0.001, test_acc=0.535]
Iter 0 | Epoch 40:  41%|████      | 41/100 [02:12<03:11,  3.25s/it, acc=0.985, lr=0.001, test_acc=0.535]
Iter 0 | Epoch 41:  41%|████      | 41/100 [02:12<03:11,  3.25s/it, acc=0.985, lr=0.001, test_acc=0.535]
Iter 0 | Epoch 41:  41%|████      | 41/100 [02:16<03:11,  3.25s/it, acc=0.987, lr=0.001, test_acc=0.515]
Iter 0 | Epoch 41:  42%|████▏     | 42/100 [02:16<03:08,  3.25s/it, acc=0.987, lr=0.001, test_acc=0.515]
Iter 0 | Epoch 42:  42%|████▏     | 42/100 [02:16<03:08,  3.25s/it, acc=0.987, lr=0.001, test_acc=0.515]
Iter 0 | Epoch 42:  42%|████▏     | 42/100 [02:19<03:08,  3.25s/it, acc=0.985, lr=0.001, test_acc=0.511]
Iter 0 | Epoch 42:  43%|████▎     | 43/100 [02:19<03:06,  3.27s/it, acc=0.985, lr=0.001, test_acc=0.511]
Iter 0 | Epoch 43:  43%|████▎     | 43/100 [02:19<03:06,  3.27s/it, acc=0.985, lr=0.001, test_acc=0.511]
Iter 0 | Epoch 43:  43%|████▎     | 43/100 [02:22<03:06,  3.27s/it, acc=0.98, lr=0.001, test_acc=0.53]  
Iter 0 | Epoch 43:  44%|████▍     | 44/100 [02:22<03:03,  3.27s/it, acc=0.98, lr=0.001, test_acc=0.53]
Iter 0 | Epoch 44:  44%|████▍     | 44/100 [02:22<03:03,  3.27s/it, acc=0.98, lr=0.001, test_acc=0.53]
Iter 0 | Epoch 44:  44%|████▍     | 44/100 [02:25<03:03,  3.27s/it, acc=0.988, lr=0.001, test_acc=0.529]
Iter 0 | Epoch 44:  45%|████▌     | 45/100 [02:25<03:00,  3.29s/it, acc=0.988, lr=0.001, test_acc=0.529]
Iter 0 | Epoch 45:  45%|████▌     | 45/100 [02:25<03:00,  3.29s/it, acc=0.988, lr=0.001, test_acc=0.529]
Iter 0 | Epoch 45:  45%|████▌     | 45/100 [02:29<03:00,  3.29s/it, acc=0.984, lr=0.001, test_acc=0.533]
Iter 0 | Epoch 45:  46%|████▌     | 46/100 [02:29<02:57,  3.29s/it, acc=0.984, lr=0.001, test_acc=0.533]
Iter 0 | Epoch 46:  46%|████▌     | 46/100 [02:29<02:57,  3.29s/it, acc=0.984, lr=0.001, test_acc=0.533]
Iter 0 | Epoch 46:  46%|████▌     | 46/100 [02:32<02:57,  3.29s/it, acc=0.986, lr=0.001, test_acc=0.504]
Iter 0 | Epoch 46:  47%|████▋     | 47/100 [02:32<02:54,  3.29s/it, acc=0.986, lr=0.001, test_acc=0.504]
Iter 0 | Epoch 47:  47%|████▋     | 47/100 [02:32<02:54,  3.29s/it, acc=0.986, lr=0.001, test_acc=0.504]
Iter 0 | Epoch 47:  47%|████▋     | 47/100 [02:35<02:54,  3.29s/it, acc=0.987, lr=0.001, test_acc=0.529]
Iter 0 | Epoch 47:  48%|████▊     | 48/100 [02:35<02:50,  3.29s/it, acc=0.987, lr=0.001, test_acc=0.529]
Iter 0 | Epoch 48:  48%|████▊     | 48/100 [02:35<02:50,  3.29s/it, acc=0.987, lr=0.001, test_acc=0.529]
Iter 0 | Epoch 48:  48%|████▊     | 48/100 [02:39<02:50,  3.29s/it, acc=0.989, lr=0.001, test_acc=0.523]
Iter 0 | Epoch 48:  49%|████▉     | 49/100 [02:39<02:46,  3.27s/it, acc=0.989, lr=0.001, test_acc=0.523]
Iter 0 | Epoch 49:  49%|████▉     | 49/100 [02:39<02:46,  3.27s/it, acc=0.989, lr=0.001, test_acc=0.523]
Iter 0 | Epoch 49:  49%|████▉     | 49/100 [02:42<02:46,  3.27s/it, acc=0.988, lr=0.001, test_acc=0.512]
Iter 0 | Epoch 49:  50%|█████     | 50/100 [02:42<02:43,  3.26s/it, acc=0.988, lr=0.001, test_acc=0.512]
Iter 0 | Epoch 50:  50%|█████     | 50/100 [02:42<02:43,  3.26s/it, acc=0.988, lr=0.001, test_acc=0.512]
Iter 0 | Epoch 50:  50%|█████     | 50/100 [02:45<02:43,  3.26s/it, acc=0.988, lr=0.001, test_acc=0.522]
Iter 0 | Epoch 50:  51%|█████     | 51/100 [02:45<02:39,  3.26s/it, acc=0.988, lr=0.001, test_acc=0.522]
Iter 0 | Epoch 51:  51%|█████     | 51/100 [02:45<02:39,  3.26s/it, acc=0.988, lr=0.001, test_acc=0.522]
Iter 0 | Epoch 51:  51%|█████     | 51/100 [02:48<02:39,  3.26s/it, acc=0.988, lr=0.001, test_acc=0.525]
Iter 0 | Epoch 51:  52%|█████▏    | 52/100 [02:48<02:36,  3.25s/it, acc=0.988, lr=0.001, test_acc=0.525]
Iter 0 | Epoch 52:  52%|█████▏    | 52/100 [02:48<02:36,  3.25s/it, acc=0.988, lr=0.001, test_acc=0.525]
Iter 0 | Epoch 52:  52%|█████▏    | 52/100 [02:52<02:36,  3.25s/it, acc=0.99, lr=0.001, test_acc=0.508] 
Iter 0 | Epoch 52:  53%|█████▎    | 53/100 [02:52<02:32,  3.24s/it, acc=0.99, lr=0.001, test_acc=0.508]
Iter 0 | Epoch 53:  53%|█████▎    | 53/100 [02:52<02:32,  3.24s/it, acc=0.99, lr=0.001, test_acc=0.508]
Iter 0 | Epoch 53:  53%|█████▎    | 53/100 [02:55<02:32,  3.24s/it, acc=0.986, lr=0.001, test_acc=0.523]
Iter 0 | Epoch 53:  54%|█████▍    | 54/100 [02:55<02:28,  3.22s/it, acc=0.986, lr=0.001, test_acc=0.523]
Iter 0 | Epoch 54:  54%|█████▍    | 54/100 [02:55<02:28,  3.22s/it, acc=0.986, lr=0.001, test_acc=0.523]
Iter 0 | Epoch 54:  54%|█████▍    | 54/100 [02:58<02:28,  3.22s/it, acc=0.988, lr=0.001, test_acc=0.554]
Iter 0 | Epoch 54:  55%|█████▌    | 55/100 [02:58<02:24,  3.21s/it, acc=0.988, lr=0.001, test_acc=0.554]
