wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 3wno7zek
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260623_080005-3wno7zek
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.3_pruning_ratio_0.1_delta_t_1
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/3wno7zek
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.3
num_mask_updates: 100000
t_end_ratio: 0.8
pruning_ratio: 0.1
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.3 | total_steps=108000 | t_end=86400 | delta_t=1

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:03<?, ?it/s, acc=0.256, lr=0.0001, test_acc=0.107]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:03<06:12,  3.77s/it, acc=0.256, lr=0.0001, test_acc=0.107]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:03<06:12,  3.77s/it, acc=0.256, lr=0.0001, test_acc=0.107]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:06<06:12,  3.77s/it, acc=0.4, lr=0.0002, test_acc=0.318]  
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:06<05:33,  3.40s/it, acc=0.4, lr=0.0002, test_acc=0.318]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:06<05:33,  3.40s/it, acc=0.4, lr=0.0002, test_acc=0.318]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:10<05:33,  3.40s/it, acc=0.507, lr=0.0003, test_acc=0.409]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:10<05:18,  3.28s/it, acc=0.507, lr=0.0003, test_acc=0.409]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:10<05:18,  3.28s/it, acc=0.507, lr=0.0003, test_acc=0.409]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:13<05:18,  3.28s/it, acc=0.63, lr=0.0004, test_acc=0.384] 
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:13<05:09,  3.22s/it, acc=0.63, lr=0.0004, test_acc=0.384]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:13<05:09,  3.22s/it, acc=0.63, lr=0.0004, test_acc=0.384]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:16<05:09,  3.22s/it, acc=0.723, lr=0.0005, test_acc=0.33]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:16<05:03,  3.19s/it, acc=0.723, lr=0.0005, test_acc=0.33]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:16<05:03,  3.19s/it, acc=0.723, lr=0.0005, test_acc=0.33]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:19<05:03,  3.19s/it, acc=0.803, lr=0.0006, test_acc=0.432]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:19<04:58,  3.17s/it, acc=0.803, lr=0.0006, test_acc=0.432]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:19<04:58,  3.17s/it, acc=0.803, lr=0.0006, test_acc=0.432]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:22<04:58,  3.17s/it, acc=0.808, lr=0.0007, test_acc=0.345]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:22<04:54,  3.16s/it, acc=0.808, lr=0.0007, test_acc=0.345]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:22<04:54,  3.16s/it, acc=0.808, lr=0.0007, test_acc=0.345]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:25<04:54,  3.16s/it, acc=0.815, lr=0.0008, test_acc=0.434]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:25<04:50,  3.15s/it, acc=0.815, lr=0.0008, test_acc=0.434]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:25<04:50,  3.15s/it, acc=0.815, lr=0.0008, test_acc=0.434]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:28<04:50,  3.15s/it, acc=0.845, lr=0.0009, test_acc=0.446]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:28<04:46,  3.15s/it, acc=0.845, lr=0.0009, test_acc=0.446]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:28<04:46,  3.15s/it, acc=0.845, lr=0.0009, test_acc=0.446]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:31<04:46,  3.15s/it, acc=0.84, lr=0.001, test_acc=0.373]  
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:31<04:42,  3.14s/it, acc=0.84, lr=0.001, test_acc=0.373]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:31<04:42,  3.14s/it, acc=0.84, lr=0.001, test_acc=0.373]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:35<04:42,  3.14s/it, acc=0.866, lr=0.001, test_acc=0.379]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:35<04:39,  3.14s/it, acc=0.866, lr=0.001, test_acc=0.379]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:35<04:39,  3.14s/it, acc=0.866, lr=0.001, test_acc=0.379]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:38<04:39,  3.14s/it, acc=0.883, lr=0.001, test_acc=0.397]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:38<04:36,  3.14s/it, acc=0.883, lr=0.001, test_acc=0.397]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:38<04:36,  3.14s/it, acc=0.883, lr=0.001, test_acc=0.397]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:41<04:36,  3.14s/it, acc=0.909, lr=0.001, test_acc=0.406]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:41<04:33,  3.14s/it, acc=0.909, lr=0.001, test_acc=0.406]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:41<04:33,  3.14s/it, acc=0.909, lr=0.001, test_acc=0.406]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:44<04:33,  3.14s/it, acc=0.915, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:44<04:29,  3.14s/it, acc=0.915, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:44<04:29,  3.14s/it, acc=0.915, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:47<04:29,  3.14s/it, acc=0.919, lr=0.001, test_acc=0.376]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:47<04:26,  3.13s/it, acc=0.919, lr=0.001, test_acc=0.376]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:47<04:26,  3.13s/it, acc=0.919, lr=0.001, test_acc=0.376]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:50<04:26,  3.13s/it, acc=0.936, lr=0.001, test_acc=0.475]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:50<04:23,  3.13s/it, acc=0.936, lr=0.001, test_acc=0.475]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:50<04:23,  3.13s/it, acc=0.936, lr=0.001, test_acc=0.475]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:53<04:23,  3.13s/it, acc=0.942, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:53<04:20,  3.13s/it, acc=0.942, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:53<04:20,  3.13s/it, acc=0.942, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:57<04:20,  3.13s/it, acc=0.938, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:57<04:17,  3.13s/it, acc=0.938, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:57<04:17,  3.13s/it, acc=0.938, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [01:00<04:17,  3.13s/it, acc=0.948, lr=0.001, test_acc=0.48] 
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [01:00<04:13,  3.13s/it, acc=0.948, lr=0.001, test_acc=0.48]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [01:00<04:13,  3.13s/it, acc=0.948, lr=0.001, test_acc=0.48]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [01:03<04:13,  3.13s/it, acc=0.952, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 19:  20%|██        | 20/100 [01:03<04:10,  3.13s/it, acc=0.952, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 20:  20%|██        | 20/100 [01:03<04:10,  3.13s/it, acc=0.952, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 20:  20%|██        | 20/100 [01:06<04:10,  3.13s/it, acc=0.958, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 20:  21%|██        | 21/100 [01:06<04:07,  3.13s/it, acc=0.958, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 21:  21%|██        | 21/100 [01:06<04:07,  3.13s/it, acc=0.958, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 21:  21%|██        | 21/100 [01:09<04:07,  3.13s/it, acc=0.959, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [01:09<04:04,  3.13s/it, acc=0.959, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [01:09<04:04,  3.13s/it, acc=0.959, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [01:12<04:04,  3.13s/it, acc=0.963, lr=0.001, test_acc=0.482]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [01:12<04:01,  3.13s/it, acc=0.963, lr=0.001, test_acc=0.482]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [01:12<04:01,  3.13s/it, acc=0.963, lr=0.001, test_acc=0.482]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [01:15<04:01,  3.13s/it, acc=0.972, lr=0.001, test_acc=0.4]  
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [01:15<03:58,  3.13s/it, acc=0.972, lr=0.001, test_acc=0.4]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:15<03:58,  3.13s/it, acc=0.972, lr=0.001, test_acc=0.4]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:19<03:58,  3.13s/it, acc=0.968, lr=0.001, test_acc=0.455]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [01:19<03:54,  3.13s/it, acc=0.968, lr=0.001, test_acc=0.455]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:19<03:54,  3.13s/it, acc=0.968, lr=0.001, test_acc=0.455]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:22<03:54,  3.13s/it, acc=0.971, lr=0.001, test_acc=0.485]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [01:22<03:51,  3.13s/it, acc=0.971, lr=0.001, test_acc=0.485]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:22<03:51,  3.13s/it, acc=0.971, lr=0.001, test_acc=0.485]
