wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260707_101946-6a8g5xv2
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.5_pruning_ratio_0.1_delta_t_8
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/6a8g5xv2
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.5
num_mask_updates: 10000
t_end_ratio: 0.8
pruning_ratio: 0.1
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.5 | total_steps=108000 | t_end=86400 | delta_t=8

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:04<?, ?it/s, acc=0.235, lr=0.0001, test_acc=0.106]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:04<06:50,  4.14s/it, acc=0.235, lr=0.0001, test_acc=0.106]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:04<06:50,  4.14s/it, acc=0.235, lr=0.0001, test_acc=0.106]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:06<06:50,  4.14s/it, acc=0.407, lr=0.0002, test_acc=0.357]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:06<05:10,  3.16s/it, acc=0.407, lr=0.0002, test_acc=0.357]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:06<05:10,  3.16s/it, acc=0.407, lr=0.0002, test_acc=0.357]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:09<05:10,  3.16s/it, acc=0.506, lr=0.0003, test_acc=0.451]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:09<04:34,  2.83s/it, acc=0.506, lr=0.0003, test_acc=0.451]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<04:34,  2.83s/it, acc=0.506, lr=0.0003, test_acc=0.451]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:11<04:34,  2.83s/it, acc=0.612, lr=0.0004, test_acc=0.387]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:11<04:18,  2.70s/it, acc=0.612, lr=0.0004, test_acc=0.387]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:11<04:18,  2.70s/it, acc=0.612, lr=0.0004, test_acc=0.387]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:13<04:18,  2.70s/it, acc=0.736, lr=0.0005, test_acc=0.405]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:13<04:06,  2.60s/it, acc=0.736, lr=0.0005, test_acc=0.405]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:13<04:06,  2.60s/it, acc=0.736, lr=0.0005, test_acc=0.405]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:16<04:06,  2.60s/it, acc=0.788, lr=0.0006, test_acc=0.321]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:16<04:00,  2.56s/it, acc=0.788, lr=0.0006, test_acc=0.321]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<04:00,  2.56s/it, acc=0.788, lr=0.0006, test_acc=0.321]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:18<04:00,  2.56s/it, acc=0.791, lr=0.0007, test_acc=0.371]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:18<03:53,  2.51s/it, acc=0.791, lr=0.0007, test_acc=0.371]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:53,  2.51s/it, acc=0.791, lr=0.0007, test_acc=0.371]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:21<03:53,  2.51s/it, acc=0.808, lr=0.0008, test_acc=0.393]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:21<03:50,  2.50s/it, acc=0.808, lr=0.0008, test_acc=0.393]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:21<03:50,  2.50s/it, acc=0.808, lr=0.0008, test_acc=0.393]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:23<03:50,  2.50s/it, acc=0.818, lr=0.0009, test_acc=0.413]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:23<03:45,  2.48s/it, acc=0.818, lr=0.0009, test_acc=0.413]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:45,  2.48s/it, acc=0.818, lr=0.0009, test_acc=0.413]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:26<03:45,  2.48s/it, acc=0.828, lr=0.001, test_acc=0.333] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:26<03:43,  2.48s/it, acc=0.828, lr=0.001, test_acc=0.333]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:26<03:43,  2.48s/it, acc=0.828, lr=0.001, test_acc=0.333]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:28<03:43,  2.48s/it, acc=0.846, lr=0.001, test_acc=0.337]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:28<03:39,  2.46s/it, acc=0.846, lr=0.001, test_acc=0.337]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:28<03:39,  2.46s/it, acc=0.846, lr=0.001, test_acc=0.337]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:31<03:39,  2.46s/it, acc=0.871, lr=0.001, test_acc=0.367]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:31<03:37,  2.47s/it, acc=0.871, lr=0.001, test_acc=0.367]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:31<03:37,  2.47s/it, acc=0.871, lr=0.001, test_acc=0.367]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:33<03:37,  2.47s/it, acc=0.874, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:33<03:33,  2.45s/it, acc=0.874, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:33<03:33,  2.45s/it, acc=0.874, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:36<03:33,  2.45s/it, acc=0.906, lr=0.001, test_acc=0.436]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:36<03:31,  2.46s/it, acc=0.906, lr=0.001, test_acc=0.436]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:36<03:31,  2.46s/it, acc=0.906, lr=0.001, test_acc=0.436]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:38<03:31,  2.46s/it, acc=0.904, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:38<03:28,  2.45s/it, acc=0.904, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:38<03:28,  2.45s/it, acc=0.904, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:40<03:28,  2.45s/it, acc=0.922, lr=0.001, test_acc=0.447]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:40<03:26,  2.46s/it, acc=0.922, lr=0.001, test_acc=0.447]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:40<03:26,  2.46s/it, acc=0.922, lr=0.001, test_acc=0.447]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:43<03:26,  2.46s/it, acc=0.928, lr=0.001, test_acc=0.402]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:43<03:23,  2.45s/it, acc=0.928, lr=0.001, test_acc=0.402]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:43<03:23,  2.45s/it, acc=0.928, lr=0.001, test_acc=0.402]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:45<03:23,  2.45s/it, acc=0.942, lr=0.001, test_acc=0.439]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:45<03:21,  2.46s/it, acc=0.942, lr=0.001, test_acc=0.439]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:45<03:21,  2.46s/it, acc=0.942, lr=0.001, test_acc=0.439]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:48<03:21,  2.46s/it, acc=0.946, lr=0.001, test_acc=0.41] 
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:48<03:18,  2.45s/it, acc=0.946, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:48<03:18,  2.45s/it, acc=0.946, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:50<03:18,  2.45s/it, acc=0.948, lr=0.001, test_acc=0.418]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:50<03:16,  2.46s/it, acc=0.948, lr=0.001, test_acc=0.418]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:50<03:16,  2.46s/it, acc=0.948, lr=0.001, test_acc=0.418]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:53<03:16,  2.46s/it, acc=0.944, lr=0.001, test_acc=0.402]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:53<03:13,  2.45s/it, acc=0.944, lr=0.001, test_acc=0.402]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:53<03:13,  2.45s/it, acc=0.944, lr=0.001, test_acc=0.402]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:55<03:13,  2.45s/it, acc=0.955, lr=0.001, test_acc=0.411]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:55<03:11,  2.46s/it, acc=0.955, lr=0.001, test_acc=0.411]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:55<03:11,  2.46s/it, acc=0.955, lr=0.001, test_acc=0.411]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:58<03:11,  2.46s/it, acc=0.96, lr=0.001, test_acc=0.463] 
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:58<03:08,  2.45s/it, acc=0.96, lr=0.001, test_acc=0.463]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:58<03:08,  2.45s/it, acc=0.96, lr=0.001, test_acc=0.463]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [01:00<03:08,  2.45s/it, acc=0.963, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [01:00<03:06,  2.45s/it, acc=0.963, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:00<03:06,  2.45s/it, acc=0.963, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:03<03:06,  2.45s/it, acc=0.963, lr=0.001, test_acc=0.506]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [01:03<03:03,  2.45s/it, acc=0.963, lr=0.001, test_acc=0.506]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:03<03:03,  2.45s/it, acc=0.963, lr=0.001, test_acc=0.506]
