wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260623_110516-ugors968
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.5_pruning_ratio_0.3_delta_t_1
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/ugors968
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.5
num_mask_updates: 100000
t_end_ratio: 0.8
pruning_ratio: 0.3
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.5 | total_steps=108000 | t_end=86400 | delta_t=1

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:03<?, ?it/s, acc=0.249, lr=0.0001, test_acc=0.107]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:03<06:00,  3.64s/it, acc=0.249, lr=0.0001, test_acc=0.107]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:03<06:00,  3.64s/it, acc=0.249, lr=0.0001, test_acc=0.107]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:06<06:00,  3.64s/it, acc=0.376, lr=0.0002, test_acc=0.318]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:06<05:36,  3.43s/it, acc=0.376, lr=0.0002, test_acc=0.318]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:06<05:36,  3.43s/it, acc=0.376, lr=0.0002, test_acc=0.318]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:10<05:36,  3.43s/it, acc=0.483, lr=0.0003, test_acc=0.369]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:10<05:26,  3.36s/it, acc=0.483, lr=0.0003, test_acc=0.369]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:10<05:26,  3.36s/it, acc=0.483, lr=0.0003, test_acc=0.369]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:13<05:26,  3.36s/it, acc=0.586, lr=0.0004, test_acc=0.34] 
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:13<05:20,  3.34s/it, acc=0.586, lr=0.0004, test_acc=0.34]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:13<05:20,  3.34s/it, acc=0.586, lr=0.0004, test_acc=0.34]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:16<05:20,  3.34s/it, acc=0.679, lr=0.0005, test_acc=0.46]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:16<05:14,  3.32s/it, acc=0.679, lr=0.0005, test_acc=0.46]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:16<05:14,  3.32s/it, acc=0.679, lr=0.0005, test_acc=0.46]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:20<05:14,  3.32s/it, acc=0.777, lr=0.0006, test_acc=0.409]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:20<05:10,  3.30s/it, acc=0.777, lr=0.0006, test_acc=0.409]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:20<05:10,  3.30s/it, acc=0.777, lr=0.0006, test_acc=0.409]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:23<05:10,  3.30s/it, acc=0.798, lr=0.0007, test_acc=0.342]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:23<05:06,  3.29s/it, acc=0.798, lr=0.0007, test_acc=0.342]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:23<05:06,  3.29s/it, acc=0.798, lr=0.0007, test_acc=0.342]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:26<05:06,  3.29s/it, acc=0.799, lr=0.0008, test_acc=0.331]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:26<05:02,  3.29s/it, acc=0.799, lr=0.0008, test_acc=0.331]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:26<05:02,  3.29s/it, acc=0.799, lr=0.0008, test_acc=0.331]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:29<05:02,  3.29s/it, acc=0.831, lr=0.0009, test_acc=0.387]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:29<04:58,  3.28s/it, acc=0.831, lr=0.0009, test_acc=0.387]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:29<04:58,  3.28s/it, acc=0.831, lr=0.0009, test_acc=0.387]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:33<04:58,  3.28s/it, acc=0.842, lr=0.001, test_acc=0.342] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:33<04:55,  3.28s/it, acc=0.842, lr=0.001, test_acc=0.342]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:33<04:55,  3.28s/it, acc=0.842, lr=0.001, test_acc=0.342]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:36<04:55,  3.28s/it, acc=0.863, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:36<04:51,  3.28s/it, acc=0.863, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:36<04:51,  3.28s/it, acc=0.863, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:39<04:51,  3.28s/it, acc=0.884, lr=0.001, test_acc=0.439]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:39<04:48,  3.28s/it, acc=0.884, lr=0.001, test_acc=0.439]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:39<04:48,  3.28s/it, acc=0.884, lr=0.001, test_acc=0.439]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:42<04:48,  3.28s/it, acc=0.916, lr=0.001, test_acc=0.466]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:42<04:44,  3.28s/it, acc=0.916, lr=0.001, test_acc=0.466]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:42<04:44,  3.28s/it, acc=0.916, lr=0.001, test_acc=0.466]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:46<04:44,  3.28s/it, acc=0.925, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:46<04:41,  3.28s/it, acc=0.925, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:46<04:41,  3.28s/it, acc=0.925, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:49<04:41,  3.28s/it, acc=0.929, lr=0.001, test_acc=0.475]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:49<04:38,  3.28s/it, acc=0.929, lr=0.001, test_acc=0.475]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:49<04:38,  3.28s/it, acc=0.929, lr=0.001, test_acc=0.475]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:52<04:38,  3.28s/it, acc=0.942, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:52<04:35,  3.28s/it, acc=0.942, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:52<04:35,  3.28s/it, acc=0.942, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:56<04:35,  3.28s/it, acc=0.949, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:56<04:31,  3.27s/it, acc=0.949, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:56<04:31,  3.27s/it, acc=0.949, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:59<04:31,  3.27s/it, acc=0.949, lr=0.001, test_acc=0.52] 
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:59<04:28,  3.28s/it, acc=0.949, lr=0.001, test_acc=0.52]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:59<04:28,  3.28s/it, acc=0.949, lr=0.001, test_acc=0.52]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [01:02<04:28,  3.28s/it, acc=0.952, lr=0.001, test_acc=0.526]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [01:02<04:25,  3.28s/it, acc=0.952, lr=0.001, test_acc=0.526]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [01:02<04:25,  3.28s/it, acc=0.952, lr=0.001, test_acc=0.526]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [01:05<04:25,  3.28s/it, acc=0.958, lr=0.001, test_acc=0.546]
Iter 0 | Epoch 19:  20%|██        | 20/100 [01:05<04:22,  3.28s/it, acc=0.958, lr=0.001, test_acc=0.546]
Iter 0 | Epoch 20:  20%|██        | 20/100 [01:05<04:22,  3.28s/it, acc=0.958, lr=0.001, test_acc=0.546]
Iter 0 | Epoch 20:  20%|██        | 20/100 [01:09<04:22,  3.28s/it, acc=0.959, lr=0.001, test_acc=0.511]
Iter 0 | Epoch 20:  21%|██        | 21/100 [01:09<04:18,  3.27s/it, acc=0.959, lr=0.001, test_acc=0.511]
Iter 0 | Epoch 21:  21%|██        | 21/100 [01:09<04:18,  3.27s/it, acc=0.959, lr=0.001, test_acc=0.511]
Iter 0 | Epoch 21:  21%|██        | 21/100 [01:12<04:18,  3.27s/it, acc=0.965, lr=0.001, test_acc=0.542]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [01:12<04:15,  3.27s/it, acc=0.965, lr=0.001, test_acc=0.542]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [01:12<04:15,  3.27s/it, acc=0.965, lr=0.001, test_acc=0.542]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [01:15<04:15,  3.27s/it, acc=0.964, lr=0.001, test_acc=0.517]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [01:15<04:11,  3.27s/it, acc=0.964, lr=0.001, test_acc=0.517]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [01:15<04:11,  3.27s/it, acc=0.964, lr=0.001, test_acc=0.517]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [01:18<04:11,  3.27s/it, acc=0.968, lr=0.001, test_acc=0.505]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [01:18<04:08,  3.26s/it, acc=0.968, lr=0.001, test_acc=0.505]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:18<04:08,  3.26s/it, acc=0.968, lr=0.001, test_acc=0.505]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:22<04:08,  3.26s/it, acc=0.972, lr=0.001, test_acc=0.518]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [01:22<04:04,  3.26s/it, acc=0.972, lr=0.001, test_acc=0.518]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:22<04:04,  3.26s/it, acc=0.972, lr=0.001, test_acc=0.518]
