wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run zmzaqqzb
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260629_184921-zmzaqqzb
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.95_pruning_ratio_0.9_delta_t_8640
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/zmzaqqzb
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.95
num_mask_updates: 10
t_end_ratio: 0.8
pruning_ratio: 0.9
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.95 | total_steps=108000 | t_end=86400 | delta_t=8640

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.179, lr=0.0001, test_acc=0.106]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:41,  2.84s/it, acc=0.179, lr=0.0001, test_acc=0.106]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:41,  2.84s/it, acc=0.179, lr=0.0001, test_acc=0.106]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<04:41,  2.84s/it, acc=0.27, lr=0.0002, test_acc=0.161] 
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:13,  2.58s/it, acc=0.27, lr=0.0002, test_acc=0.161]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:13,  2.58s/it, acc=0.27, lr=0.0002, test_acc=0.161]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:13,  2.58s/it, acc=0.336, lr=0.0003, test_acc=0.277]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<04:02,  2.50s/it, acc=0.336, lr=0.0003, test_acc=0.277]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<04:02,  2.50s/it, acc=0.336, lr=0.0003, test_acc=0.277]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:10<04:02,  2.50s/it, acc=0.431, lr=0.0004, test_acc=0.412]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:10<03:55,  2.46s/it, acc=0.431, lr=0.0004, test_acc=0.412]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:10<03:55,  2.46s/it, acc=0.431, lr=0.0004, test_acc=0.412]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:12<03:55,  2.46s/it, acc=0.54, lr=0.0005, test_acc=0.4]   
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:12<03:51,  2.44s/it, acc=0.54, lr=0.0005, test_acc=0.4]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:12<03:51,  2.44s/it, acc=0.54, lr=0.0005, test_acc=0.4]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:51,  2.44s/it, acc=0.653, lr=0.0006, test_acc=0.453]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:47,  2.42s/it, acc=0.653, lr=0.0006, test_acc=0.453]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:47,  2.42s/it, acc=0.653, lr=0.0006, test_acc=0.453]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:17<03:47,  2.42s/it, acc=0.782, lr=0.0007, test_acc=0.426]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:17<03:44,  2.42s/it, acc=0.782, lr=0.0007, test_acc=0.426]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:17<03:44,  2.42s/it, acc=0.782, lr=0.0007, test_acc=0.426]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:19<03:44,  2.42s/it, acc=0.885, lr=0.0008, test_acc=0.409]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:19<03:41,  2.41s/it, acc=0.885, lr=0.0008, test_acc=0.409]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:19<03:41,  2.41s/it, acc=0.885, lr=0.0008, test_acc=0.409]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:22<03:41,  2.41s/it, acc=0.918, lr=0.0009, test_acc=0.424]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:22<03:39,  2.41s/it, acc=0.918, lr=0.0009, test_acc=0.424]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:22<03:39,  2.41s/it, acc=0.918, lr=0.0009, test_acc=0.424]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:24<03:39,  2.41s/it, acc=0.915, lr=0.001, test_acc=0.388] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:24<03:36,  2.40s/it, acc=0.915, lr=0.001, test_acc=0.388]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:24<03:36,  2.40s/it, acc=0.915, lr=0.001, test_acc=0.388]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:26<03:36,  2.40s/it, acc=0.91, lr=0.001, test_acc=0.332] 
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:26<03:33,  2.40s/it, acc=0.91, lr=0.001, test_acc=0.332]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:26<03:33,  2.40s/it, acc=0.91, lr=0.001, test_acc=0.332]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:29<03:33,  2.40s/it, acc=0.914, lr=0.001, test_acc=0.385]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:29<03:31,  2.40s/it, acc=0.914, lr=0.001, test_acc=0.385]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:29<03:31,  2.40s/it, acc=0.914, lr=0.001, test_acc=0.385]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:31<03:31,  2.40s/it, acc=0.919, lr=0.001, test_acc=0.388]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:31<03:29,  2.40s/it, acc=0.919, lr=0.001, test_acc=0.388]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:31<03:29,  2.40s/it, acc=0.919, lr=0.001, test_acc=0.388]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:34<03:29,  2.40s/it, acc=0.933, lr=0.001, test_acc=0.427]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:34<03:26,  2.40s/it, acc=0.933, lr=0.001, test_acc=0.427]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:34<03:26,  2.40s/it, acc=0.933, lr=0.001, test_acc=0.427]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:36<03:26,  2.40s/it, acc=0.941, lr=0.001, test_acc=0.413]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:36<03:23,  2.40s/it, acc=0.941, lr=0.001, test_acc=0.413]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:36<03:23,  2.40s/it, acc=0.941, lr=0.001, test_acc=0.413]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:38<03:23,  2.40s/it, acc=0.943, lr=0.001, test_acc=0.373]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:38<03:21,  2.40s/it, acc=0.943, lr=0.001, test_acc=0.373]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:38<03:21,  2.40s/it, acc=0.943, lr=0.001, test_acc=0.373]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:41<03:21,  2.40s/it, acc=0.941, lr=0.001, test_acc=0.416]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:41<03:18,  2.40s/it, acc=0.941, lr=0.001, test_acc=0.416]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:41<03:18,  2.40s/it, acc=0.941, lr=0.001, test_acc=0.416]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:43<03:18,  2.40s/it, acc=0.952, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:43<03:16,  2.40s/it, acc=0.952, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:43<03:16,  2.40s/it, acc=0.952, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:46<03:16,  2.40s/it, acc=0.953, lr=0.001, test_acc=0.417]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:46<03:14,  2.40s/it, acc=0.953, lr=0.001, test_acc=0.417]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:46<03:14,  2.40s/it, acc=0.953, lr=0.001, test_acc=0.417]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:48<03:14,  2.40s/it, acc=0.949, lr=0.001, test_acc=0.356]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:48<03:12,  2.40s/it, acc=0.949, lr=0.001, test_acc=0.356]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:48<03:12,  2.40s/it, acc=0.949, lr=0.001, test_acc=0.356]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:50<03:12,  2.40s/it, acc=0.946, lr=0.001, test_acc=0.412]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:50<03:09,  2.40s/it, acc=0.946, lr=0.001, test_acc=0.412]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:50<03:09,  2.40s/it, acc=0.946, lr=0.001, test_acc=0.412]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:53<03:09,  2.40s/it, acc=0.962, lr=0.001, test_acc=0.397]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:53<03:07,  2.40s/it, acc=0.962, lr=0.001, test_acc=0.397]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:53<03:07,  2.40s/it, acc=0.962, lr=0.001, test_acc=0.397]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:55<03:07,  2.40s/it, acc=0.955, lr=0.001, test_acc=0.423]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:55<03:04,  2.40s/it, acc=0.955, lr=0.001, test_acc=0.423]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:55<03:04,  2.40s/it, acc=0.955, lr=0.001, test_acc=0.423]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:58<03:04,  2.40s/it, acc=0.958, lr=0.001, test_acc=0.423]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:58<03:02,  2.40s/it, acc=0.958, lr=0.001, test_acc=0.423]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:58<03:02,  2.40s/it, acc=0.958, lr=0.001, test_acc=0.423]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:00<03:02,  2.40s/it, acc=0.96, lr=0.001, test_acc=0.413] 
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [01:00<02:59,  2.40s/it, acc=0.96, lr=0.001, test_acc=0.413]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:00<02:59,  2.40s/it, acc=0.96, lr=0.001, test_acc=0.413]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:02<02:59,  2.40s/it, acc=0.966, lr=0.001, test_acc=0.449]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [01:02<02:57,  2.40s/it, acc=0.966, lr=0.001, test_acc=0.449]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:02<02:57,  2.40s/it, acc=0.966, lr=0.001, test_acc=0.449]
