wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run i6zgg84f
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260630_023154-i6zgg84f
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.95_pruning_ratio_0.9_delta_t_864
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/i6zgg84f
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.95
num_mask_updates: 100
t_end_ratio: 0.8
pruning_ratio: 0.9
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.95 | total_steps=108000 | t_end=86400 | delta_t=864

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:03<?, ?it/s, acc=0.178, lr=0.0001, test_acc=0.105]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:03<04:57,  3.00s/it, acc=0.178, lr=0.0001, test_acc=0.105]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:03<04:57,  3.00s/it, acc=0.178, lr=0.0001, test_acc=0.105]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<04:57,  3.00s/it, acc=0.273, lr=0.0002, test_acc=0.162]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:24,  2.70s/it, acc=0.273, lr=0.0002, test_acc=0.162]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:24,  2.70s/it, acc=0.273, lr=0.0002, test_acc=0.162]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:24,  2.70s/it, acc=0.335, lr=0.0003, test_acc=0.272]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<04:11,  2.59s/it, acc=0.335, lr=0.0003, test_acc=0.272]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<04:11,  2.59s/it, acc=0.335, lr=0.0003, test_acc=0.272]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:10<04:11,  2.59s/it, acc=0.43, lr=0.0004, test_acc=0.405] 
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:10<04:04,  2.55s/it, acc=0.43, lr=0.0004, test_acc=0.405]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:10<04:04,  2.55s/it, acc=0.43, lr=0.0004, test_acc=0.405]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:12<04:04,  2.55s/it, acc=0.533, lr=0.0005, test_acc=0.387]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:12<03:59,  2.52s/it, acc=0.533, lr=0.0005, test_acc=0.387]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:12<03:59,  2.52s/it, acc=0.533, lr=0.0005, test_acc=0.387]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:15<03:59,  2.52s/it, acc=0.651, lr=0.0006, test_acc=0.455]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:15<03:56,  2.51s/it, acc=0.651, lr=0.0006, test_acc=0.455]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:15<03:56,  2.51s/it, acc=0.651, lr=0.0006, test_acc=0.455]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:17<03:56,  2.51s/it, acc=0.784, lr=0.0007, test_acc=0.392]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:17<03:52,  2.49s/it, acc=0.784, lr=0.0007, test_acc=0.392]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:17<03:52,  2.49s/it, acc=0.784, lr=0.0007, test_acc=0.392]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:20<03:52,  2.49s/it, acc=0.872, lr=0.0008, test_acc=0.432]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:20<03:48,  2.49s/it, acc=0.872, lr=0.0008, test_acc=0.432]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:20<03:48,  2.49s/it, acc=0.872, lr=0.0008, test_acc=0.432]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:22<03:48,  2.49s/it, acc=0.912, lr=0.0009, test_acc=0.324]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:22<03:46,  2.49s/it, acc=0.912, lr=0.0009, test_acc=0.324]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:22<03:46,  2.49s/it, acc=0.912, lr=0.0009, test_acc=0.324]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:25<03:46,  2.49s/it, acc=0.912, lr=0.001, test_acc=0.397] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:25<03:43,  2.49s/it, acc=0.912, lr=0.001, test_acc=0.397]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:43,  2.49s/it, acc=0.912, lr=0.001, test_acc=0.397]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:27<03:43,  2.49s/it, acc=0.893, lr=0.001, test_acc=0.308]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:27<03:40,  2.48s/it, acc=0.893, lr=0.001, test_acc=0.308]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:40,  2.48s/it, acc=0.893, lr=0.001, test_acc=0.308]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:30<03:40,  2.48s/it, acc=0.906, lr=0.001, test_acc=0.384]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:30<03:37,  2.47s/it, acc=0.906, lr=0.001, test_acc=0.384]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:30<03:37,  2.47s/it, acc=0.906, lr=0.001, test_acc=0.384]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:32<03:37,  2.47s/it, acc=0.929, lr=0.001, test_acc=0.37] 
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:32<03:34,  2.47s/it, acc=0.929, lr=0.001, test_acc=0.37]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:32<03:34,  2.47s/it, acc=0.929, lr=0.001, test_acc=0.37]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:35<03:34,  2.47s/it, acc=0.942, lr=0.001, test_acc=0.405]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:35<03:32,  2.47s/it, acc=0.942, lr=0.001, test_acc=0.405]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:35<03:32,  2.47s/it, acc=0.942, lr=0.001, test_acc=0.405]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:37<03:32,  2.47s/it, acc=0.942, lr=0.001, test_acc=0.306]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:37<03:30,  2.48s/it, acc=0.942, lr=0.001, test_acc=0.306]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:37<03:30,  2.48s/it, acc=0.942, lr=0.001, test_acc=0.306]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:40<03:30,  2.48s/it, acc=0.94, lr=0.001, test_acc=0.39]  
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:40<03:28,  2.48s/it, acc=0.94, lr=0.001, test_acc=0.39]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:40<03:28,  2.48s/it, acc=0.94, lr=0.001, test_acc=0.39]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:42<03:28,  2.48s/it, acc=0.944, lr=0.001, test_acc=0.335]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:42<03:25,  2.48s/it, acc=0.944, lr=0.001, test_acc=0.335]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:42<03:25,  2.48s/it, acc=0.944, lr=0.001, test_acc=0.335]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:45<03:25,  2.48s/it, acc=0.943, lr=0.001, test_acc=0.374]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:45<03:23,  2.48s/it, acc=0.943, lr=0.001, test_acc=0.374]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:45<03:23,  2.48s/it, acc=0.943, lr=0.001, test_acc=0.374]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:47<03:23,  2.48s/it, acc=0.953, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:47<03:20,  2.48s/it, acc=0.953, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:47<03:20,  2.48s/it, acc=0.953, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:50<03:20,  2.48s/it, acc=0.956, lr=0.001, test_acc=0.418]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:50<03:18,  2.48s/it, acc=0.956, lr=0.001, test_acc=0.418]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:50<03:18,  2.48s/it, acc=0.956, lr=0.001, test_acc=0.418]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:52<03:18,  2.48s/it, acc=0.952, lr=0.001, test_acc=0.403]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:52<03:15,  2.48s/it, acc=0.952, lr=0.001, test_acc=0.403]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:52<03:15,  2.48s/it, acc=0.952, lr=0.001, test_acc=0.403]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:55<03:15,  2.48s/it, acc=0.958, lr=0.001, test_acc=0.425]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:55<03:13,  2.48s/it, acc=0.958, lr=0.001, test_acc=0.425]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:55<03:13,  2.48s/it, acc=0.958, lr=0.001, test_acc=0.425]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:57<03:13,  2.48s/it, acc=0.954, lr=0.001, test_acc=0.361]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:57<03:11,  2.48s/it, acc=0.954, lr=0.001, test_acc=0.361]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:57<03:11,  2.48s/it, acc=0.954, lr=0.001, test_acc=0.361]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:59<03:11,  2.48s/it, acc=0.958, lr=0.001, test_acc=0.42] 
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:59<03:08,  2.48s/it, acc=0.958, lr=0.001, test_acc=0.42]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:59<03:08,  2.48s/it, acc=0.958, lr=0.001, test_acc=0.42]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:02<03:08,  2.48s/it, acc=0.962, lr=0.001, test_acc=0.395]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [01:02<03:06,  2.48s/it, acc=0.962, lr=0.001, test_acc=0.395]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:02<03:06,  2.48s/it, acc=0.962, lr=0.001, test_acc=0.395]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:04<03:06,  2.48s/it, acc=0.963, lr=0.001, test_acc=0.425]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [01:04<03:03,  2.48s/it, acc=0.963, lr=0.001, test_acc=0.425]
