wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 9coajnfv
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260707_101946-9coajnfv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.9_pruning_ratio_0.1_delta_t_8
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/9coajnfv
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.9
num_mask_updates: 10000
t_end_ratio: 0.8
pruning_ratio: 0.1
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.9 | total_steps=108000 | t_end=86400 | delta_t=8

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:03<?, ?it/s, acc=0.184, lr=0.0001, test_acc=0.164]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:03<06:31,  3.96s/it, acc=0.184, lr=0.0001, test_acc=0.164]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:03<06:31,  3.96s/it, acc=0.184, lr=0.0001, test_acc=0.164]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:06<06:31,  3.96s/it, acc=0.315, lr=0.0002, test_acc=0.23] 
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:06<05:08,  3.15s/it, acc=0.315, lr=0.0002, test_acc=0.23]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:06<05:08,  3.15s/it, acc=0.315, lr=0.0002, test_acc=0.23]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:09<05:08,  3.15s/it, acc=0.374, lr=0.0003, test_acc=0.373]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:09<04:38,  2.87s/it, acc=0.374, lr=0.0003, test_acc=0.373]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<04:38,  2.87s/it, acc=0.374, lr=0.0003, test_acc=0.373]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:11<04:38,  2.87s/it, acc=0.448, lr=0.0004, test_acc=0.396]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:11<04:24,  2.76s/it, acc=0.448, lr=0.0004, test_acc=0.396]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:11<04:24,  2.76s/it, acc=0.448, lr=0.0004, test_acc=0.396]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:14<04:24,  2.76s/it, acc=0.505, lr=0.0005, test_acc=0.445]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:14<04:14,  2.68s/it, acc=0.505, lr=0.0005, test_acc=0.445]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<04:14,  2.68s/it, acc=0.505, lr=0.0005, test_acc=0.445]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:16<04:14,  2.68s/it, acc=0.574, lr=0.0006, test_acc=0.251]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:16<04:08,  2.65s/it, acc=0.574, lr=0.0006, test_acc=0.251]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<04:08,  2.65s/it, acc=0.574, lr=0.0006, test_acc=0.251]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:19<04:08,  2.65s/it, acc=0.631, lr=0.0007, test_acc=0.389]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:19<04:02,  2.60s/it, acc=0.631, lr=0.0007, test_acc=0.389]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:19<04:02,  2.60s/it, acc=0.631, lr=0.0007, test_acc=0.389]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:21<04:02,  2.60s/it, acc=0.679, lr=0.0008, test_acc=0.378]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:21<03:59,  2.60s/it, acc=0.679, lr=0.0008, test_acc=0.378]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:21<03:59,  2.60s/it, acc=0.679, lr=0.0008, test_acc=0.378]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:24<03:59,  2.60s/it, acc=0.727, lr=0.0009, test_acc=0.33] 
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:24<03:54,  2.58s/it, acc=0.727, lr=0.0009, test_acc=0.33]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:24<03:54,  2.58s/it, acc=0.727, lr=0.0009, test_acc=0.33]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:26<03:54,  2.58s/it, acc=0.763, lr=0.001, test_acc=0.36] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:26<03:52,  2.58s/it, acc=0.763, lr=0.001, test_acc=0.36]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:26<03:52,  2.58s/it, acc=0.763, lr=0.001, test_acc=0.36]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:29<03:52,  2.58s/it, acc=0.779, lr=0.001, test_acc=0.381]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:29<03:47,  2.56s/it, acc=0.779, lr=0.001, test_acc=0.381]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:29<03:47,  2.56s/it, acc=0.779, lr=0.001, test_acc=0.381]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:32<03:47,  2.56s/it, acc=0.831, lr=0.001, test_acc=0.365]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:32<03:45,  2.57s/it, acc=0.831, lr=0.001, test_acc=0.365]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:32<03:45,  2.57s/it, acc=0.831, lr=0.001, test_acc=0.365]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:34<03:45,  2.57s/it, acc=0.853, lr=0.001, test_acc=0.259]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:34<03:42,  2.56s/it, acc=0.853, lr=0.001, test_acc=0.259]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:34<03:42,  2.56s/it, acc=0.853, lr=0.001, test_acc=0.259]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:37<03:42,  2.56s/it, acc=0.887, lr=0.001, test_acc=0.474]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:37<03:40,  2.56s/it, acc=0.887, lr=0.001, test_acc=0.474]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:37<03:40,  2.56s/it, acc=0.887, lr=0.001, test_acc=0.474]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:39<03:40,  2.56s/it, acc=0.897, lr=0.001, test_acc=0.347]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:39<03:36,  2.55s/it, acc=0.897, lr=0.001, test_acc=0.347]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:39<03:36,  2.55s/it, acc=0.897, lr=0.001, test_acc=0.347]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:42<03:36,  2.55s/it, acc=0.903, lr=0.001, test_acc=0.42] 
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:42<03:35,  2.56s/it, acc=0.903, lr=0.001, test_acc=0.42]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:42<03:35,  2.56s/it, acc=0.903, lr=0.001, test_acc=0.42]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:44<03:35,  2.56s/it, acc=0.912, lr=0.001, test_acc=0.512]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:44<03:31,  2.55s/it, acc=0.912, lr=0.001, test_acc=0.512]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:44<03:31,  2.55s/it, acc=0.912, lr=0.001, test_acc=0.512]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:47<03:31,  2.55s/it, acc=0.915, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:47<03:29,  2.56s/it, acc=0.915, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:47<03:29,  2.56s/it, acc=0.915, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:49<03:29,  2.56s/it, acc=0.926, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:49<03:26,  2.55s/it, acc=0.926, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:49<03:26,  2.55s/it, acc=0.926, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:52<03:26,  2.55s/it, acc=0.934, lr=0.001, test_acc=0.435]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:52<03:24,  2.56s/it, acc=0.934, lr=0.001, test_acc=0.435]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:52<03:24,  2.56s/it, acc=0.934, lr=0.001, test_acc=0.435]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:55<03:24,  2.56s/it, acc=0.936, lr=0.001, test_acc=0.499]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:55<03:21,  2.55s/it, acc=0.936, lr=0.001, test_acc=0.499]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:55<03:21,  2.55s/it, acc=0.936, lr=0.001, test_acc=0.499]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:57<03:21,  2.55s/it, acc=0.937, lr=0.001, test_acc=0.272]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:57<03:19,  2.56s/it, acc=0.937, lr=0.001, test_acc=0.272]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:57<03:19,  2.56s/it, acc=0.937, lr=0.001, test_acc=0.272]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [01:00<03:19,  2.56s/it, acc=0.934, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [01:00<03:16,  2.55s/it, acc=0.934, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [01:00<03:16,  2.55s/it, acc=0.934, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [01:02<03:16,  2.55s/it, acc=0.947, lr=0.001, test_acc=0.302]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [01:02<03:14,  2.56s/it, acc=0.947, lr=0.001, test_acc=0.302]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:02<03:14,  2.56s/it, acc=0.947, lr=0.001, test_acc=0.302]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:05<03:14,  2.56s/it, acc=0.948, lr=0.001, test_acc=0.533]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [01:05<03:11,  2.55s/it, acc=0.948, lr=0.001, test_acc=0.533]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:05<03:11,  2.55s/it, acc=0.948, lr=0.001, test_acc=0.533]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:07<03:11,  2.55s/it, acc=0.952, lr=0.001, test_acc=0.475]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [01:07<03:09,  2.56s/it, acc=0.952, lr=0.001, test_acc=0.475]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:07<03:09,  2.56s/it, acc=0.952, lr=0.001, test_acc=0.475]
