wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 89sk39hu
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260708_030509-89sk39hu
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.9_pruning_ratio_0.9_delta_t_8
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/89sk39hu
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.9
num_mask_updates: 10000
t_end_ratio: 0.8
pruning_ratio: 0.9
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.9 | total_steps=108000 | t_end=86400 

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.156, lr=0.0001, test_acc=0.101]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:45,  2.88s/it, acc=0.156, lr=0.0001, test_acc=0.101]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:45,  2.88s/it, acc=0.156, lr=0.0001, test_acc=0.101]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<04:45,  2.88s/it, acc=0.225, lr=0.0002, test_acc=0.174]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:19,  2.65s/it, acc=0.225, lr=0.0002, test_acc=0.174]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:19,  2.65s/it, acc=0.225, lr=0.0002, test_acc=0.174]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:19,  2.65s/it, acc=0.248, lr=0.0003, test_acc=0.163]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<04:07,  2.55s/it, acc=0.248, lr=0.0003, test_acc=0.163]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<04:07,  2.55s/it, acc=0.248, lr=0.0003, test_acc=0.163]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:10<04:07,  2.55s/it, acc=0.277, lr=0.0004, test_acc=0.105]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:10<04:02,  2.52s/it, acc=0.277, lr=0.0004, test_acc=0.105]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:10<04:02,  2.52s/it, acc=0.277, lr=0.0004, test_acc=0.105]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:12<04:02,  2.52s/it, acc=0.313, lr=0.0005, test_acc=0.177]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:12<03:56,  2.49s/it, acc=0.313, lr=0.0005, test_acc=0.177]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:12<03:56,  2.49s/it, acc=0.313, lr=0.0005, test_acc=0.177]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:15<03:56,  2.49s/it, acc=0.348, lr=0.0006, test_acc=0.102]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:15<03:53,  2.49s/it, acc=0.348, lr=0.0006, test_acc=0.102]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:15<03:53,  2.49s/it, acc=0.348, lr=0.0006, test_acc=0.102]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:17<03:53,  2.49s/it, acc=0.363, lr=0.0007, test_acc=0.264]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:17<03:49,  2.47s/it, acc=0.363, lr=0.0007, test_acc=0.264]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:17<03:49,  2.47s/it, acc=0.363, lr=0.0007, test_acc=0.264]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:20<03:49,  2.47s/it, acc=0.388, lr=0.0008, test_acc=0.108]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:20<03:47,  2.47s/it, acc=0.388, lr=0.0008, test_acc=0.108]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:20<03:47,  2.47s/it, acc=0.388, lr=0.0008, test_acc=0.108]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:22<03:47,  2.47s/it, acc=0.41, lr=0.0009, test_acc=0.198] 
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:22<03:43,  2.46s/it, acc=0.41, lr=0.0009, test_acc=0.198]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:22<03:43,  2.46s/it, acc=0.41, lr=0.0009, test_acc=0.198]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:25<03:43,  2.46s/it, acc=0.439, lr=0.001, test_acc=0.195]
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:25<03:41,  2.47s/it, acc=0.439, lr=0.001, test_acc=0.195]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:41,  2.47s/it, acc=0.439, lr=0.001, test_acc=0.195]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:27<03:41,  2.47s/it, acc=0.445, lr=0.001, test_acc=0.214]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:27<03:38,  2.46s/it, acc=0.445, lr=0.001, test_acc=0.214]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:38,  2.46s/it, acc=0.445, lr=0.001, test_acc=0.214]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:29<03:38,  2.46s/it, acc=0.488, lr=0.001, test_acc=0.12] 
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:29<03:36,  2.46s/it, acc=0.488, lr=0.001, test_acc=0.12]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:29<03:36,  2.46s/it, acc=0.488, lr=0.001, test_acc=0.12]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:32<03:36,  2.46s/it, acc=0.489, lr=0.001, test_acc=0.266]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:32<03:33,  2.45s/it, acc=0.489, lr=0.001, test_acc=0.266]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:32<03:33,  2.45s/it, acc=0.489, lr=0.001, test_acc=0.266]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:34<03:33,  2.45s/it, acc=0.529, lr=0.001, test_acc=0.285]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:34<03:32,  2.47s/it, acc=0.529, lr=0.001, test_acc=0.285]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:34<03:32,  2.47s/it, acc=0.529, lr=0.001, test_acc=0.285]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:37<03:32,  2.47s/it, acc=0.562, lr=0.001, test_acc=0.191]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:37<03:28,  2.46s/it, acc=0.562, lr=0.001, test_acc=0.191]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:37<03:28,  2.46s/it, acc=0.562, lr=0.001, test_acc=0.191]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:39<03:28,  2.46s/it, acc=0.559, lr=0.001, test_acc=0.136]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:39<03:27,  2.47s/it, acc=0.559, lr=0.001, test_acc=0.136]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:39<03:27,  2.47s/it, acc=0.559, lr=0.001, test_acc=0.136]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:42<03:27,  2.47s/it, acc=0.594, lr=0.001, test_acc=0.21] 
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:42<03:23,  2.46s/it, acc=0.594, lr=0.001, test_acc=0.21]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:42<03:23,  2.46s/it, acc=0.594, lr=0.001, test_acc=0.21]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:44<03:23,  2.46s/it, acc=0.599, lr=0.001, test_acc=0.232]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:44<03:22,  2.47s/it, acc=0.599, lr=0.001, test_acc=0.232]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:44<03:22,  2.47s/it, acc=0.599, lr=0.001, test_acc=0.232]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:47<03:22,  2.47s/it, acc=0.626, lr=0.001, test_acc=0.411]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:47<03:18,  2.46s/it, acc=0.626, lr=0.001, test_acc=0.411]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:47<03:18,  2.46s/it, acc=0.626, lr=0.001, test_acc=0.411]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:49<03:18,  2.46s/it, acc=0.655, lr=0.001, test_acc=0.18] 
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:49<03:17,  2.46s/it, acc=0.655, lr=0.001, test_acc=0.18]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:49<03:17,  2.46s/it, acc=0.655, lr=0.001, test_acc=0.18]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:52<03:17,  2.46s/it, acc=0.678, lr=0.001, test_acc=0.241]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:52<03:13,  2.45s/it, acc=0.678, lr=0.001, test_acc=0.241]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:52<03:13,  2.45s/it, acc=0.678, lr=0.001, test_acc=0.241]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:54<03:13,  2.45s/it, acc=0.681, lr=0.001, test_acc=0.191]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:54<03:12,  2.47s/it, acc=0.681, lr=0.001, test_acc=0.191]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:54<03:12,  2.47s/it, acc=0.681, lr=0.001, test_acc=0.191]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:56<03:12,  2.47s/it, acc=0.682, lr=0.001, test_acc=0.334]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:56<03:09,  2.46s/it, acc=0.682, lr=0.001, test_acc=0.334]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:56<03:09,  2.46s/it, acc=0.682, lr=0.001, test_acc=0.334]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:59<03:09,  2.46s/it, acc=0.716, lr=0.001, test_acc=0.262]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:59<03:07,  2.47s/it, acc=0.716, lr=0.001, test_acc=0.262]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:59<03:07,  2.47s/it, acc=0.716, lr=0.001, test_acc=0.262]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:01<03:07,  2.47s/it, acc=0.721, lr=0.001, test_acc=0.428]
