wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run asgijlbi
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260619_124411-asgijlbi
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.1_pruning_ratio_0.1_delta_t_8
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/asgijlbi
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: set
sparsity: 0.1
num_mask_updates: 10000
t_end_ratio: 0.8
pruning_ratio: 0.1
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] set | sparsity=0.1 | total_steps=108000 | t_end=86400 | delta_t=8

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:03<?, ?it/s, acc=0.262, lr=0.0001, test_acc=0.106]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:03<04:57,  3.01s/it, acc=0.262, lr=0.0001, test_acc=0.106]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:03<04:57,  3.01s/it, acc=0.262, lr=0.0001, test_acc=0.106]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<04:57,  3.01s/it, acc=0.412, lr=0.0002, test_acc=0.257]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:27,  2.73s/it, acc=0.412, lr=0.0002, test_acc=0.257]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:27,  2.73s/it, acc=0.412, lr=0.0002, test_acc=0.257]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:27,  2.73s/it, acc=0.516, lr=0.0003, test_acc=0.445]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<04:11,  2.59s/it, acc=0.516, lr=0.0003, test_acc=0.445]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<04:11,  2.59s/it, acc=0.516, lr=0.0003, test_acc=0.445]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:10<04:11,  2.59s/it, acc=0.637, lr=0.0004, test_acc=0.41] 
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:10<04:06,  2.57s/it, acc=0.637, lr=0.0004, test_acc=0.41]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:10<04:06,  2.57s/it, acc=0.637, lr=0.0004, test_acc=0.41]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:12<04:06,  2.57s/it, acc=0.724, lr=0.0005, test_acc=0.395]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:13<04:06,  2.60s/it, acc=0.724, lr=0.0005, test_acc=0.395]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:13<04:06,  2.60s/it, acc=0.724, lr=0.0005, test_acc=0.395]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:15<04:06,  2.60s/it, acc=0.757, lr=0.0006, test_acc=0.285]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:15<03:59,  2.55s/it, acc=0.757, lr=0.0006, test_acc=0.285]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:15<03:59,  2.55s/it, acc=0.757, lr=0.0006, test_acc=0.285]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:18<03:59,  2.55s/it, acc=0.767, lr=0.0007, test_acc=0.378]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:18<03:54,  2.52s/it, acc=0.767, lr=0.0007, test_acc=0.378]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:54,  2.52s/it, acc=0.767, lr=0.0007, test_acc=0.378]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:20<03:54,  2.52s/it, acc=0.787, lr=0.0008, test_acc=0.321]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:20<03:50,  2.51s/it, acc=0.787, lr=0.0008, test_acc=0.321]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:20<03:50,  2.51s/it, acc=0.787, lr=0.0008, test_acc=0.321]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:22<03:50,  2.51s/it, acc=0.784, lr=0.0009, test_acc=0.412]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:22<03:46,  2.48s/it, acc=0.784, lr=0.0009, test_acc=0.412]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:22<03:46,  2.48s/it, acc=0.784, lr=0.0009, test_acc=0.412]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:25<03:46,  2.48s/it, acc=0.806, lr=0.001, test_acc=0.41]  
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:25<03:44,  2.50s/it, acc=0.806, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:44,  2.50s/it, acc=0.806, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:27<03:44,  2.50s/it, acc=0.813, lr=0.001, test_acc=0.38]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:27<03:40,  2.48s/it, acc=0.813, lr=0.001, test_acc=0.38]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:40,  2.48s/it, acc=0.813, lr=0.001, test_acc=0.38]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:30<03:40,  2.48s/it, acc=0.835, lr=0.001, test_acc=0.428]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:30<03:39,  2.49s/it, acc=0.835, lr=0.001, test_acc=0.428]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:30<03:39,  2.49s/it, acc=0.835, lr=0.001, test_acc=0.428]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:32<03:39,  2.49s/it, acc=0.871, lr=0.001, test_acc=0.448]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:32<03:35,  2.48s/it, acc=0.871, lr=0.001, test_acc=0.448]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:32<03:35,  2.48s/it, acc=0.871, lr=0.001, test_acc=0.448]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:35<03:35,  2.48s/it, acc=0.899, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:35<03:34,  2.50s/it, acc=0.899, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:35<03:34,  2.50s/it, acc=0.899, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:37<03:34,  2.50s/it, acc=0.897, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:37<03:30,  2.48s/it, acc=0.897, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:37<03:30,  2.48s/it, acc=0.897, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:40<03:30,  2.48s/it, acc=0.913, lr=0.001, test_acc=0.42] 
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:40<03:29,  2.49s/it, acc=0.913, lr=0.001, test_acc=0.42]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:40<03:29,  2.49s/it, acc=0.913, lr=0.001, test_acc=0.42]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:42<03:29,  2.49s/it, acc=0.915, lr=0.001, test_acc=0.34]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:42<03:25,  2.48s/it, acc=0.915, lr=0.001, test_acc=0.34]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:42<03:25,  2.48s/it, acc=0.915, lr=0.001, test_acc=0.34]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:45<03:25,  2.48s/it, acc=0.926, lr=0.001, test_acc=0.431]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:45<03:24,  2.49s/it, acc=0.926, lr=0.001, test_acc=0.431]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:45<03:24,  2.49s/it, acc=0.926, lr=0.001, test_acc=0.431]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:47<03:24,  2.49s/it, acc=0.928, lr=0.001, test_acc=0.347]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:47<03:19,  2.47s/it, acc=0.928, lr=0.001, test_acc=0.347]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:47<03:19,  2.47s/it, acc=0.928, lr=0.001, test_acc=0.347]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:50<03:19,  2.47s/it, acc=0.935, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:50<03:17,  2.46s/it, acc=0.935, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:50<03:17,  2.46s/it, acc=0.935, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:52<03:17,  2.46s/it, acc=0.945, lr=0.001, test_acc=0.511]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:52<03:13,  2.45s/it, acc=0.945, lr=0.001, test_acc=0.511]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:52<03:13,  2.45s/it, acc=0.945, lr=0.001, test_acc=0.511]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:55<03:13,  2.45s/it, acc=0.951, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:55<03:11,  2.45s/it, acc=0.951, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:55<03:11,  2.45s/it, acc=0.951, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:57<03:11,  2.45s/it, acc=0.938, lr=0.001, test_acc=0.455]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:57<03:08,  2.45s/it, acc=0.938, lr=0.001, test_acc=0.455]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:57<03:08,  2.45s/it, acc=0.938, lr=0.001, test_acc=0.455]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [01:00<03:08,  2.45s/it, acc=0.955, lr=0.001, test_acc=0.501]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [01:00<03:07,  2.47s/it, acc=0.955, lr=0.001, test_acc=0.501]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:00<03:07,  2.47s/it, acc=0.955, lr=0.001, test_acc=0.501]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:02<03:07,  2.47s/it, acc=0.955, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [01:02<03:05,  2.47s/it, acc=0.955, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:02<03:05,  2.47s/it, acc=0.955, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:05<03:05,  2.47s/it, acc=0.958, lr=0.001, test_acc=0.466]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [01:05<03:04,  2.49s/it, acc=0.958, lr=0.001, test_acc=0.466]
