wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run rvwwwzf3
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260707_021049-rvwwwzf3
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.7_pruning_ratio_0.1_delta_t_8
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/rvwwwzf3
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: set
sparsity: 0.7
num_mask_updates: 10000
t_end_ratio: 0.8
pruning_ratio: 0.1
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] set | sparsity=0.7 | total_steps=108000 | t_end=86400 | delta_t=8

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:03<?, ?it/s, acc=0.189, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:03<06:05,  3.69s/it, acc=0.189, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:03<06:05,  3.69s/it, acc=0.189, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:06<06:05,  3.69s/it, acc=0.308, lr=0.0002, test_acc=0.199]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:06<04:53,  2.99s/it, acc=0.308, lr=0.0002, test_acc=0.199]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:06<04:53,  2.99s/it, acc=0.308, lr=0.0002, test_acc=0.199]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:08<04:53,  2.99s/it, acc=0.386, lr=0.0003, test_acc=0.392]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:08<04:26,  2.74s/it, acc=0.386, lr=0.0003, test_acc=0.392]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:08<04:26,  2.74s/it, acc=0.386, lr=0.0003, test_acc=0.392]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:11<04:26,  2.74s/it, acc=0.468, lr=0.0004, test_acc=0.27] 
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:11<04:14,  2.65s/it, acc=0.468, lr=0.0004, test_acc=0.27]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:11<04:14,  2.65s/it, acc=0.468, lr=0.0004, test_acc=0.27]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:13<04:14,  2.65s/it, acc=0.52, lr=0.0005, test_acc=0.469]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:13<04:05,  2.58s/it, acc=0.52, lr=0.0005, test_acc=0.469]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:13<04:05,  2.58s/it, acc=0.52, lr=0.0005, test_acc=0.469]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:16<04:05,  2.58s/it, acc=0.571, lr=0.0006, test_acc=0.33]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:16<04:00,  2.55s/it, acc=0.571, lr=0.0006, test_acc=0.33]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<04:00,  2.55s/it, acc=0.571, lr=0.0006, test_acc=0.33]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:18<04:00,  2.55s/it, acc=0.633, lr=0.0007, test_acc=0.41]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:18<03:54,  2.52s/it, acc=0.633, lr=0.0007, test_acc=0.41]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:54,  2.52s/it, acc=0.633, lr=0.0007, test_acc=0.41]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:21<03:54,  2.52s/it, acc=0.695, lr=0.0008, test_acc=0.384]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:21<03:51,  2.51s/it, acc=0.695, lr=0.0008, test_acc=0.384]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:21<03:51,  2.51s/it, acc=0.695, lr=0.0008, test_acc=0.384]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:23<03:51,  2.51s/it, acc=0.741, lr=0.0009, test_acc=0.149]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:23<03:46,  2.49s/it, acc=0.741, lr=0.0009, test_acc=0.149]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:46,  2.49s/it, acc=0.741, lr=0.0009, test_acc=0.149]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:25<03:46,  2.49s/it, acc=0.782, lr=0.001, test_acc=0.387] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:25<03:44,  2.50s/it, acc=0.782, lr=0.001, test_acc=0.387]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:44,  2.50s/it, acc=0.782, lr=0.001, test_acc=0.387]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:28<03:44,  2.50s/it, acc=0.818, lr=0.001, test_acc=0.44] 
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:28<03:40,  2.48s/it, acc=0.818, lr=0.001, test_acc=0.44]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:28<03:40,  2.48s/it, acc=0.818, lr=0.001, test_acc=0.44]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:30<03:40,  2.48s/it, acc=0.864, lr=0.001, test_acc=0.308]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:30<03:38,  2.49s/it, acc=0.864, lr=0.001, test_acc=0.308]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:30<03:38,  2.49s/it, acc=0.864, lr=0.001, test_acc=0.308]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:33<03:38,  2.49s/it, acc=0.87, lr=0.001, test_acc=0.367] 
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:33<03:35,  2.47s/it, acc=0.87, lr=0.001, test_acc=0.367]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:33<03:35,  2.47s/it, acc=0.87, lr=0.001, test_acc=0.367]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:35<03:35,  2.47s/it, acc=0.903, lr=0.001, test_acc=0.359]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:35<03:33,  2.48s/it, acc=0.903, lr=0.001, test_acc=0.359]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:35<03:33,  2.48s/it, acc=0.903, lr=0.001, test_acc=0.359]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:38<03:33,  2.48s/it, acc=0.908, lr=0.001, test_acc=0.502]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:38<03:30,  2.47s/it, acc=0.908, lr=0.001, test_acc=0.502]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:38<03:30,  2.47s/it, acc=0.908, lr=0.001, test_acc=0.502]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:40<03:30,  2.47s/it, acc=0.909, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:40<03:28,  2.48s/it, acc=0.909, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:40<03:28,  2.48s/it, acc=0.909, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:43<03:28,  2.48s/it, acc=0.926, lr=0.001, test_acc=0.493]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:43<03:24,  2.47s/it, acc=0.926, lr=0.001, test_acc=0.493]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:43<03:24,  2.47s/it, acc=0.926, lr=0.001, test_acc=0.493]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:45<03:24,  2.47s/it, acc=0.942, lr=0.001, test_acc=0.472]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:45<03:23,  2.48s/it, acc=0.942, lr=0.001, test_acc=0.472]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:45<03:23,  2.48s/it, acc=0.942, lr=0.001, test_acc=0.472]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:48<03:23,  2.48s/it, acc=0.944, lr=0.001, test_acc=0.476]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:48<03:19,  2.47s/it, acc=0.944, lr=0.001, test_acc=0.476]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:48<03:19,  2.47s/it, acc=0.944, lr=0.001, test_acc=0.476]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:50<03:19,  2.47s/it, acc=0.941, lr=0.001, test_acc=0.494]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:50<03:18,  2.48s/it, acc=0.941, lr=0.001, test_acc=0.494]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:50<03:18,  2.48s/it, acc=0.941, lr=0.001, test_acc=0.494]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:53<03:18,  2.48s/it, acc=0.937, lr=0.001, test_acc=0.457]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:53<03:14,  2.47s/it, acc=0.937, lr=0.001, test_acc=0.457]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:53<03:14,  2.47s/it, acc=0.937, lr=0.001, test_acc=0.457]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:55<03:14,  2.47s/it, acc=0.953, lr=0.001, test_acc=0.435]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:55<03:13,  2.48s/it, acc=0.953, lr=0.001, test_acc=0.435]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:55<03:13,  2.48s/it, acc=0.953, lr=0.001, test_acc=0.435]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:58<03:13,  2.48s/it, acc=0.959, lr=0.001, test_acc=0.328]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:58<03:09,  2.47s/it, acc=0.959, lr=0.001, test_acc=0.328]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:58<03:09,  2.47s/it, acc=0.959, lr=0.001, test_acc=0.328]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [01:00<03:09,  2.47s/it, acc=0.958, lr=0.001, test_acc=0.483]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [01:00<03:08,  2.48s/it, acc=0.958, lr=0.001, test_acc=0.483]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:00<03:08,  2.48s/it, acc=0.958, lr=0.001, test_acc=0.483]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:03<03:08,  2.48s/it, acc=0.956, lr=0.001, test_acc=0.467]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [01:03<03:04,  2.47s/it, acc=0.956, lr=0.001, test_acc=0.467]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:03<03:04,  2.47s/it, acc=0.956, lr=0.001, test_acc=0.467]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:05<03:04,  2.47s/it, acc=0.963, lr=0.001, test_acc=0.516]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [01:05<03:03,  2.48s/it, acc=0.963, lr=0.001, test_acc=0.516]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:05<03:03,  2.48s/it, acc=0.963, lr=0.001, test_acc=0.516]
