wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 9oqhpd7k
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260710_201931-9oqhpd7k
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.95_pruning_ratio_0.3_delta_t_1
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/9oqhpd7k
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: set
sparsity: 0.95
num_mask_updates: 100000
t_end_ratio: 0.8
pruning_ratio: 0.3
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] set | sparsity=0.95 | total_steps=108000 | t_end=86400 

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:04<?, ?it/s, acc=0.126, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:04<06:43,  4.08s/it, acc=0.126, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:04<06:43,  4.08s/it, acc=0.126, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:07<06:43,  4.08s/it, acc=0.21, lr=0.0002, test_acc=0.117]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:07<06:13,  3.81s/it, acc=0.21, lr=0.0002, test_acc=0.117]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<06:13,  3.81s/it, acc=0.21, lr=0.0002, test_acc=0.117]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:11<06:13,  3.81s/it, acc=0.239, lr=0.0003, test_acc=0.233]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:11<06:01,  3.72s/it, acc=0.239, lr=0.0003, test_acc=0.233]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:11<06:01,  3.72s/it, acc=0.239, lr=0.0003, test_acc=0.233]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:14<06:01,  3.72s/it, acc=0.263, lr=0.0004, test_acc=0.172]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:14<05:53,  3.68s/it, acc=0.263, lr=0.0004, test_acc=0.172]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:14<05:53,  3.68s/it, acc=0.263, lr=0.0004, test_acc=0.172]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:18<05:53,  3.68s/it, acc=0.306, lr=0.0005, test_acc=0.269]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:18<05:48,  3.67s/it, acc=0.306, lr=0.0005, test_acc=0.269]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:18<05:48,  3.67s/it, acc=0.306, lr=0.0005, test_acc=0.269]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:22<05:48,  3.67s/it, acc=0.336, lr=0.0006, test_acc=0.191]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:22<05:43,  3.65s/it, acc=0.336, lr=0.0006, test_acc=0.191]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:22<05:43,  3.65s/it, acc=0.336, lr=0.0006, test_acc=0.191]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:25<05:43,  3.65s/it, acc=0.377, lr=0.0007, test_acc=0.218]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:25<05:38,  3.64s/it, acc=0.377, lr=0.0007, test_acc=0.218]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:25<05:38,  3.64s/it, acc=0.377, lr=0.0007, test_acc=0.218]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:29<05:38,  3.64s/it, acc=0.39, lr=0.0008, test_acc=0.263] 
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:29<05:34,  3.64s/it, acc=0.39, lr=0.0008, test_acc=0.263]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:29<05:34,  3.64s/it, acc=0.39, lr=0.0008, test_acc=0.263]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:33<05:34,  3.64s/it, acc=0.411, lr=0.0009, test_acc=0.265]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:33<05:30,  3.63s/it, acc=0.411, lr=0.0009, test_acc=0.265]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:33<05:30,  3.63s/it, acc=0.411, lr=0.0009, test_acc=0.265]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:36<05:30,  3.63s/it, acc=0.436, lr=0.001, test_acc=0.288] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:36<05:26,  3.63s/it, acc=0.436, lr=0.001, test_acc=0.288]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:36<05:26,  3.63s/it, acc=0.436, lr=0.001, test_acc=0.288]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:40<05:26,  3.63s/it, acc=0.477, lr=0.001, test_acc=0.41] 
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:40<05:23,  3.63s/it, acc=0.477, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:40<05:23,  3.63s/it, acc=0.477, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:43<05:23,  3.63s/it, acc=0.511, lr=0.001, test_acc=0.351]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:43<05:19,  3.63s/it, acc=0.511, lr=0.001, test_acc=0.351]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:43<05:19,  3.63s/it, acc=0.511, lr=0.001, test_acc=0.351]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:47<05:19,  3.63s/it, acc=0.538, lr=0.001, test_acc=0.328]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:47<05:16,  3.63s/it, acc=0.538, lr=0.001, test_acc=0.328]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:47<05:16,  3.63s/it, acc=0.538, lr=0.001, test_acc=0.328]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:51<05:16,  3.63s/it, acc=0.579, lr=0.001, test_acc=0.401]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:51<05:12,  3.63s/it, acc=0.579, lr=0.001, test_acc=0.401]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:51<05:12,  3.63s/it, acc=0.579, lr=0.001, test_acc=0.401]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:54<05:12,  3.63s/it, acc=0.611, lr=0.001, test_acc=0.368]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:54<05:08,  3.63s/it, acc=0.611, lr=0.001, test_acc=0.368]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:54<05:08,  3.63s/it, acc=0.611, lr=0.001, test_acc=0.368]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:58<05:08,  3.63s/it, acc=0.642, lr=0.001, test_acc=0.374]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:58<05:04,  3.63s/it, acc=0.642, lr=0.001, test_acc=0.374]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:58<05:04,  3.63s/it, acc=0.642, lr=0.001, test_acc=0.374]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [01:02<05:04,  3.63s/it, acc=0.675, lr=0.001, test_acc=0.429]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [01:02<05:00,  3.63s/it, acc=0.675, lr=0.001, test_acc=0.429]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [01:02<05:00,  3.63s/it, acc=0.675, lr=0.001, test_acc=0.429]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [01:05<05:00,  3.63s/it, acc=0.704, lr=0.001, test_acc=0.438]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [01:05<04:57,  3.62s/it, acc=0.704, lr=0.001, test_acc=0.438]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [01:05<04:57,  3.62s/it, acc=0.704, lr=0.001, test_acc=0.438]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [01:09<04:57,  3.62s/it, acc=0.749, lr=0.001, test_acc=0.389]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [01:09<04:53,  3.62s/it, acc=0.749, lr=0.001, test_acc=0.389]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [01:09<04:53,  3.62s/it, acc=0.749, lr=0.001, test_acc=0.389]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [01:12<04:53,  3.62s/it, acc=0.779, lr=0.001, test_acc=0.419]
Iter 0 | Epoch 19:  20%|██        | 20/100 [01:12<04:49,  3.62s/it, acc=0.779, lr=0.001, test_acc=0.419]
Iter 0 | Epoch 20:  20%|██        | 20/100 [01:12<04:49,  3.62s/it, acc=0.779, lr=0.001, test_acc=0.419]
Iter 0 | Epoch 20:  20%|██        | 20/100 [01:16<04:49,  3.62s/it, acc=0.819, lr=0.001, test_acc=0.435]
Iter 0 | Epoch 20:  21%|██        | 21/100 [01:16<04:45,  3.62s/it, acc=0.819, lr=0.001, test_acc=0.435]
Iter 0 | Epoch 21:  21%|██        | 21/100 [01:16<04:45,  3.62s/it, acc=0.819, lr=0.001, test_acc=0.435]
Iter 0 | Epoch 21:  21%|██        | 21/100 [01:20<04:45,  3.62s/it, acc=0.849, lr=0.001, test_acc=0.456]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [01:20<04:42,  3.62s/it, acc=0.849, lr=0.001, test_acc=0.456]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [01:20<04:42,  3.62s/it, acc=0.849, lr=0.001, test_acc=0.456]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [01:23<04:42,  3.62s/it, acc=0.86, lr=0.001, test_acc=0.498] 
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [01:23<04:38,  3.62s/it, acc=0.86, lr=0.001, test_acc=0.498]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [01:23<04:38,  3.62s/it, acc=0.86, lr=0.001, test_acc=0.498]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [01:27<04:38,  3.62s/it, acc=0.896, lr=0.001, test_acc=0.381]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [01:27<04:35,  3.62s/it, acc=0.896, lr=0.001, test_acc=0.381]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:27<04:35,  3.62s/it, acc=0.896, lr=0.001, test_acc=0.381]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:31<04:35,  3.62s/it, acc=0.902, lr=0.001, test_acc=0.452]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [01:31<04:31,  3.62s/it, acc=0.902, lr=0.001, test_acc=0.452]
