wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run bwnptjto
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260710_203540-bwnptjto
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.99_pruning_ratio_0.3_delta_t_1
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/bwnptjto
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: set
sparsity: 0.99
num_mask_updates: 100000
t_end_ratio: 0.8
pruning_ratio: 0.3
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] set | sparsity=0.99 | total_steps=108000 | t_end=86400 

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:04<?, ?it/s, acc=0.107, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:04<06:59,  4.24s/it, acc=0.107, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:04<06:59,  4.24s/it, acc=0.107, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:07<06:59,  4.24s/it, acc=0.141, lr=0.0002, test_acc=0.1]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:07<06:18,  3.87s/it, acc=0.141, lr=0.0002, test_acc=0.1]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<06:18,  3.87s/it, acc=0.141, lr=0.0002, test_acc=0.1]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:11<06:18,  3.87s/it, acc=0.17, lr=0.0003, test_acc=0.113]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:11<06:03,  3.75s/it, acc=0.17, lr=0.0003, test_acc=0.113]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:11<06:03,  3.75s/it, acc=0.17, lr=0.0003, test_acc=0.113]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:15<06:03,  3.75s/it, acc=0.195, lr=0.0004, test_acc=0.0997]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:15<05:54,  3.69s/it, acc=0.195, lr=0.0004, test_acc=0.0997]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:15<05:54,  3.69s/it, acc=0.195, lr=0.0004, test_acc=0.0997]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:18<05:54,  3.69s/it, acc=0.222, lr=0.0005, test_acc=0.101] 
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:18<05:47,  3.66s/it, acc=0.222, lr=0.0005, test_acc=0.101]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:18<05:47,  3.66s/it, acc=0.222, lr=0.0005, test_acc=0.101]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:22<05:47,  3.66s/it, acc=0.247, lr=0.0006, test_acc=0.102]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:22<05:41,  3.64s/it, acc=0.247, lr=0.0006, test_acc=0.102]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:22<05:41,  3.64s/it, acc=0.247, lr=0.0006, test_acc=0.102]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:25<05:41,  3.64s/it, acc=0.251, lr=0.0007, test_acc=0.0942]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:25<05:37,  3.62s/it, acc=0.251, lr=0.0007, test_acc=0.0942]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:25<05:37,  3.62s/it, acc=0.251, lr=0.0007, test_acc=0.0942]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:29<05:37,  3.62s/it, acc=0.27, lr=0.0008, test_acc=0.0853] 
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:29<05:32,  3.62s/it, acc=0.27, lr=0.0008, test_acc=0.0853]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:29<05:32,  3.62s/it, acc=0.27, lr=0.0008, test_acc=0.0853]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:33<05:32,  3.62s/it, acc=0.289, lr=0.0009, test_acc=0.134]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:33<05:28,  3.61s/it, acc=0.289, lr=0.0009, test_acc=0.134]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:33<05:28,  3.61s/it, acc=0.289, lr=0.0009, test_acc=0.134]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:36<05:28,  3.61s/it, acc=0.309, lr=0.001, test_acc=0.151] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:36<05:24,  3.61s/it, acc=0.309, lr=0.001, test_acc=0.151]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:36<05:24,  3.61s/it, acc=0.309, lr=0.001, test_acc=0.151]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:40<05:24,  3.61s/it, acc=0.33, lr=0.001, test_acc=0.0974]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:40<05:20,  3.61s/it, acc=0.33, lr=0.001, test_acc=0.0974]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:40<05:20,  3.61s/it, acc=0.33, lr=0.001, test_acc=0.0974]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:43<05:20,  3.61s/it, acc=0.351, lr=0.001, test_acc=0.173]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:43<05:16,  3.60s/it, acc=0.351, lr=0.001, test_acc=0.173]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:43<05:16,  3.60s/it, acc=0.351, lr=0.001, test_acc=0.173]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:47<05:16,  3.60s/it, acc=0.375, lr=0.001, test_acc=0.127]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:47<05:13,  3.60s/it, acc=0.375, lr=0.001, test_acc=0.127]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:47<05:13,  3.60s/it, acc=0.375, lr=0.001, test_acc=0.127]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:51<05:13,  3.60s/it, acc=0.392, lr=0.001, test_acc=0.15] 
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:51<05:09,  3.60s/it, acc=0.392, lr=0.001, test_acc=0.15]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:51<05:09,  3.60s/it, acc=0.392, lr=0.001, test_acc=0.15]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:54<05:09,  3.60s/it, acc=0.408, lr=0.001, test_acc=0.226]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:54<05:06,  3.60s/it, acc=0.408, lr=0.001, test_acc=0.226]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:54<05:06,  3.60s/it, acc=0.408, lr=0.001, test_acc=0.226]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:58<05:06,  3.60s/it, acc=0.423, lr=0.001, test_acc=0.107]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:58<05:02,  3.60s/it, acc=0.423, lr=0.001, test_acc=0.107]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:58<05:02,  3.60s/it, acc=0.423, lr=0.001, test_acc=0.107]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [01:01<05:02,  3.60s/it, acc=0.442, lr=0.001, test_acc=0.101]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [01:01<04:58,  3.59s/it, acc=0.442, lr=0.001, test_acc=0.101]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [01:01<04:58,  3.59s/it, acc=0.442, lr=0.001, test_acc=0.101]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [01:05<04:58,  3.59s/it, acc=0.457, lr=0.001, test_acc=0.117]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [01:05<04:54,  3.60s/it, acc=0.457, lr=0.001, test_acc=0.117]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [01:05<04:54,  3.60s/it, acc=0.457, lr=0.001, test_acc=0.117]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [01:08<04:54,  3.60s/it, acc=0.475, lr=0.001, test_acc=0.174]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [01:08<04:51,  3.59s/it, acc=0.475, lr=0.001, test_acc=0.174]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [01:08<04:51,  3.59s/it, acc=0.475, lr=0.001, test_acc=0.174]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [01:12<04:51,  3.59s/it, acc=0.491, lr=0.001, test_acc=0.125]
Iter 0 | Epoch 19:  20%|██        | 20/100 [01:12<04:47,  3.59s/it, acc=0.491, lr=0.001, test_acc=0.125]
Iter 0 | Epoch 20:  20%|██        | 20/100 [01:12<04:47,  3.59s/it, acc=0.491, lr=0.001, test_acc=0.125]
Iter 0 | Epoch 20:  20%|██        | 20/100 [01:16<04:47,  3.59s/it, acc=0.495, lr=0.001, test_acc=0.16] 
Iter 0 | Epoch 20:  21%|██        | 21/100 [01:16<04:43,  3.59s/it, acc=0.495, lr=0.001, test_acc=0.16]
Iter 0 | Epoch 21:  21%|██        | 21/100 [01:16<04:43,  3.59s/it, acc=0.495, lr=0.001, test_acc=0.16]
Iter 0 | Epoch 21:  21%|██        | 21/100 [01:19<04:43,  3.59s/it, acc=0.517, lr=0.001, test_acc=0.113]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [01:19<04:40,  3.59s/it, acc=0.517, lr=0.001, test_acc=0.113]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [01:19<04:40,  3.59s/it, acc=0.517, lr=0.001, test_acc=0.113]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [01:23<04:40,  3.59s/it, acc=0.527, lr=0.001, test_acc=0.136]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [01:23<04:36,  3.60s/it, acc=0.527, lr=0.001, test_acc=0.136]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [01:23<04:36,  3.60s/it, acc=0.527, lr=0.001, test_acc=0.136]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [01:26<04:36,  3.60s/it, acc=0.536, lr=0.001, test_acc=0.157]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [01:26<04:33,  3.60s/it, acc=0.536, lr=0.001, test_acc=0.157]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:26<04:33,  3.60s/it, acc=0.536, lr=0.001, test_acc=0.157]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:30<04:33,  3.60s/it, acc=0.554, lr=0.001, test_acc=0.11] 
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [01:30<04:29,  3.59s/it, acc=0.554, lr=0.001, test_acc=0.11]
