wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 0krojjlx
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260618_175145-0krojjlx
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.9_pruning_ratio_0.1_delta_t_8640
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/0krojjlx
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: set
sparsity: 0.9
num_mask_updates: 10
t_end_ratio: 0.8
pruning_ratio: 0.1
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] set | sparsity=0.9 | total_steps=108000 | t_end=86400 | delta_t=8640

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:03<?, ?it/s, acc=0.175, lr=0.0001, test_acc=0.103]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:03<05:10,  3.13s/it, acc=0.175, lr=0.0001, test_acc=0.103]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:03<05:10,  3.13s/it, acc=0.175, lr=0.0001, test_acc=0.103]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<05:10,  3.13s/it, acc=0.28, lr=0.0002, test_acc=0.177] 
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:14,  2.60s/it, acc=0.28, lr=0.0002, test_acc=0.177]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:14,  2.60s/it, acc=0.28, lr=0.0002, test_acc=0.177]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:14,  2.60s/it, acc=0.328, lr=0.0003, test_acc=0.303]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:55,  2.43s/it, acc=0.328, lr=0.0003, test_acc=0.303]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:55,  2.43s/it, acc=0.328, lr=0.0003, test_acc=0.303]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:55,  2.43s/it, acc=0.392, lr=0.0004, test_acc=0.356]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:44,  2.34s/it, acc=0.392, lr=0.0004, test_acc=0.356]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:44,  2.34s/it, acc=0.392, lr=0.0004, test_acc=0.356]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:12<03:44,  2.34s/it, acc=0.453, lr=0.0005, test_acc=0.351]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:12<03:38,  2.30s/it, acc=0.453, lr=0.0005, test_acc=0.351]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:12<03:38,  2.30s/it, acc=0.453, lr=0.0005, test_acc=0.351]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:38,  2.30s/it, acc=0.534, lr=0.0006, test_acc=0.424]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:33,  2.27s/it, acc=0.534, lr=0.0006, test_acc=0.424]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:33,  2.27s/it, acc=0.534, lr=0.0006, test_acc=0.424]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:33,  2.27s/it, acc=0.638, lr=0.0007, test_acc=0.372]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:29,  2.25s/it, acc=0.638, lr=0.0007, test_acc=0.372]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:29,  2.25s/it, acc=0.638, lr=0.0007, test_acc=0.372]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:29,  2.25s/it, acc=0.735, lr=0.0008, test_acc=0.359]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:18<03:26,  2.24s/it, acc=0.735, lr=0.0008, test_acc=0.359]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:18<03:26,  2.24s/it, acc=0.735, lr=0.0008, test_acc=0.359]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:20<03:26,  2.24s/it, acc=0.823, lr=0.0009, test_acc=0.406]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:20<03:23,  2.24s/it, acc=0.823, lr=0.0009, test_acc=0.406]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:20<03:23,  2.24s/it, acc=0.823, lr=0.0009, test_acc=0.406]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:23,  2.24s/it, acc=0.896, lr=0.001, test_acc=0.426] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:23<03:20,  2.23s/it, acc=0.896, lr=0.001, test_acc=0.426]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:23<03:20,  2.23s/it, acc=0.896, lr=0.001, test_acc=0.426]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:20,  2.23s/it, acc=0.931, lr=0.001, test_acc=0.352]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:18,  2.23s/it, acc=0.931, lr=0.001, test_acc=0.352]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:18,  2.23s/it, acc=0.931, lr=0.001, test_acc=0.352]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:18,  2.23s/it, acc=0.939, lr=0.001, test_acc=0.367]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:27<03:15,  2.22s/it, acc=0.939, lr=0.001, test_acc=0.367]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:27<03:15,  2.22s/it, acc=0.939, lr=0.001, test_acc=0.367]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:29<03:15,  2.22s/it, acc=0.95, lr=0.001, test_acc=0.386] 
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:29<03:13,  2.22s/it, acc=0.95, lr=0.001, test_acc=0.386]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:29<03:13,  2.22s/it, acc=0.95, lr=0.001, test_acc=0.386]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:31<03:13,  2.22s/it, acc=0.953, lr=0.001, test_acc=0.361]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:31<03:10,  2.22s/it, acc=0.953, lr=0.001, test_acc=0.361]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:31<03:10,  2.22s/it, acc=0.953, lr=0.001, test_acc=0.361]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:34<03:10,  2.22s/it, acc=0.953, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:34<03:08,  2.22s/it, acc=0.953, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:34<03:08,  2.22s/it, acc=0.953, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:36<03:08,  2.22s/it, acc=0.958, lr=0.001, test_acc=0.411]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:36<03:06,  2.22s/it, acc=0.958, lr=0.001, test_acc=0.411]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:36<03:06,  2.22s/it, acc=0.958, lr=0.001, test_acc=0.411]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:38<03:06,  2.22s/it, acc=0.959, lr=0.001, test_acc=0.41] 
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:38<03:04,  2.22s/it, acc=0.959, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:38<03:04,  2.22s/it, acc=0.959, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:40<03:04,  2.22s/it, acc=0.964, lr=0.001, test_acc=0.421]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:40<03:01,  2.22s/it, acc=0.964, lr=0.001, test_acc=0.421]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:40<03:01,  2.22s/it, acc=0.964, lr=0.001, test_acc=0.421]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:43<03:01,  2.22s/it, acc=0.963, lr=0.001, test_acc=0.384]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:43<02:59,  2.22s/it, acc=0.963, lr=0.001, test_acc=0.384]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:43<02:59,  2.22s/it, acc=0.963, lr=0.001, test_acc=0.384]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:45<02:59,  2.22s/it, acc=0.97, lr=0.001, test_acc=0.458] 
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:45<02:57,  2.22s/it, acc=0.97, lr=0.001, test_acc=0.458]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:45<02:57,  2.22s/it, acc=0.97, lr=0.001, test_acc=0.458]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:47<02:57,  2.22s/it, acc=0.971, lr=0.001, test_acc=0.436]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:47<02:55,  2.22s/it, acc=0.971, lr=0.001, test_acc=0.436]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:47<02:55,  2.22s/it, acc=0.971, lr=0.001, test_acc=0.436]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:49<02:55,  2.22s/it, acc=0.967, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:49<02:52,  2.22s/it, acc=0.967, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:49<02:52,  2.22s/it, acc=0.967, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:51<02:52,  2.22s/it, acc=0.964, lr=0.001, test_acc=0.389]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:51<02:50,  2.22s/it, acc=0.964, lr=0.001, test_acc=0.389]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:51<02:50,  2.22s/it, acc=0.964, lr=0.001, test_acc=0.389]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:54<02:50,  2.22s/it, acc=0.974, lr=0.001, test_acc=0.434]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:54<02:48,  2.22s/it, acc=0.974, lr=0.001, test_acc=0.434]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:54<02:48,  2.22s/it, acc=0.974, lr=0.001, test_acc=0.434]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:56<02:48,  2.22s/it, acc=0.973, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:56<02:46,  2.22s/it, acc=0.973, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:56<02:46,  2.22s/it, acc=0.973, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:58<02:46,  2.22s/it, acc=0.971, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [00:58<02:44,  2.22s/it, acc=0.971, lr=0.001, test_acc=0.393]
